Profile Summary
Generated on: 2021-03-17 08:12:59
Msec since Epoch: 1615965179380
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,5687.36,5687.36,5687.36,5687.36,
clFinish,1,725.581,725.581,725.581,725.581,
clReleaseProgram,1,8.83018,8.83018,8.83018,8.83018,
clCreateBuffer,35,0.396192,0.006409,0.0113198,0.0595,
clCreateKernel,1,0.324583,0.324583,0.324583,0.324583,
clReleaseMemObject,105,0.321717,0.002343,0.00306397,0.045881,
clReleaseKernel,1,0.172579,0.172579,0.172579,0.172579,
clRetainMemObject,70,0.171258,0.00234,0.00244654,0.003894,
clSetKernelArg,35,0.09431,0.002411,0.00269457,0.006122,
clEnqueueMigrateMemObjects,2,0.088151,0.011541,0.0440755,0.07661,
clEnqueueTask,1,0.081742,0.081742,0.081742,0.081742,
clGetExtensionFunctionAddress,2,0.038757,0.007855,0.0193785,0.030902,
clGetPlatformInfo,6,0.015584,0.002309,0.00259733,0.003513,
clGetExtensionFunctionAddressForPlatform,2,0.009424,0.0026,0.004712,0.006824,
clCreateContext,1,0.009305,0.009305,0.009305,0.009305,
clGetDeviceIDs,2,0.007825,0.002834,0.0039125,0.004991,
clReleaseDevice,2,0.005793,0.002631,0.0028965,0.003162,
clRetainDevice,2,0.005587,0.002554,0.0027935,0.003033,
clCreateCommandQueue,1,0.005407,0.005407,0.005407,0.005407,
clReleaseCommandQueue,1,0.005226,0.005226,0.005226,0.005226,
clReleaseContext,1,0.00426,0.00426,0.00426,0.00426,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,714.897,714.897,714.897,714.897,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,1,1.000000x,714.289,714.289,714.289,714.289,140,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,1.230414,0.012817,0.256,0.208060,0.208060,
context0:1,WRITE,1,1345.448614,14.015090,14080,10.464911,10.464911,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem34,out_PLRAM,PLRAM[0],WRITE,1,459.487,3.9886,0.128,278.571,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_xdma_201920_3-0,vadd_1,1,128,3.125,0.000128,0.000128,0,448,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94075837846256,vadd,0,0,xilinx_u280_xdma_201920_3-0,6363.99,714.897,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,6353.44,10.464911,14080,1345.448614,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
8589934592,0,0,7079.09,0.208060,0.256,1.230414,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_xdma_201920_3-0,714.897482,
CU_CALLS,xilinx_u280_xdma_201920_3-0|vadd_1,1,
MEMORY_BIT_WIDTH,xilinx_u280_xdma_201920_3-0,512,
MIGRATE_MEM,host,2,
MEMORY_USAGE,DDR[0],1,
MEMORY_USAGE,DDR[1],1,
MEMORY_USAGE,HBM[0],1,
MEMORY_USAGE,HBM[10],1,
MEMORY_USAGE,HBM[11],1,
MEMORY_USAGE,HBM[12],1,
MEMORY_USAGE,HBM[13],1,
MEMORY_USAGE,HBM[14],1,
MEMORY_USAGE,HBM[15],1,
MEMORY_USAGE,HBM[16],1,
MEMORY_USAGE,HBM[17],1,
MEMORY_USAGE,HBM[18],1,
MEMORY_USAGE,HBM[19],1,
MEMORY_USAGE,HBM[1],1,
MEMORY_USAGE,HBM[20],1,
MEMORY_USAGE,HBM[21],1,
MEMORY_USAGE,HBM[22],1,
MEMORY_USAGE,HBM[23],1,
MEMORY_USAGE,HBM[24],1,
MEMORY_USAGE,HBM[25],1,
MEMORY_USAGE,HBM[26],1,
MEMORY_USAGE,HBM[27],1,
MEMORY_USAGE,HBM[28],1,
MEMORY_USAGE,HBM[29],1,
MEMORY_USAGE,HBM[2],1,
MEMORY_USAGE,HBM[30],1,
MEMORY_USAGE,HBM[31],1,
MEMORY_USAGE,HBM[3],1,
MEMORY_USAGE,HBM[4],1,
MEMORY_USAGE,HBM[5],1,
MEMORY_USAGE,HBM[6],1,
MEMORY_USAGE,HBM[7],1,
MEMORY_USAGE,HBM[8],1,
MEMORY_USAGE,HBM[9],1,
MEMORY_USAGE,PLRAM[0],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem10,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem11,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem12,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem13,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem14,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem15,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem16,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem17,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem18,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem19,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem20,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem21,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem22,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem23,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem24,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem25,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem26,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem27,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem28,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem29,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem3,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem30,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem31,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem32,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem33,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem34,64,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem4,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem5,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem6,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem7,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem8,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem9,32,
KERNEL_COUNT,vadd,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,vadd,1,
COMMAND_QUEUE_OOO,94075836722256,0,
PLRAM_SIZE_BYTES,xilinx_u280_xdma_201920_3-0,131072,
KERNEL_BUFFER_INFO,vadd|table_HBM0|HBM[0],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM1|HBM[1],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM2|HBM[2],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM3|HBM[3],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM4|HBM[4],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM5|HBM[5],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM6|HBM[6],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM7|HBM[7],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM8|HBM[8],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM9|HBM[9],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM10|HBM[10],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM11|HBM[11],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM12|HBM[12],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM13|HBM[13],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM14|HBM[14],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM15|HBM[15],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM16|HBM[16],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM17|HBM[17],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM18|HBM[18],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM19|HBM[19],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM20|HBM[20],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM21|HBM[21],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM22|HBM[22],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM23|HBM[23],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM24|HBM[24],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM25|HBM[25],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM26|HBM[26],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM27|HBM[27],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM28|HBM[28],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM29|HBM[29],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM30|HBM[30],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM31|HBM[31],40000,
KERNEL_BUFFER_INFO,vadd|table_DDR0|DDR[0],6400000,
KERNEL_BUFFER_INFO,vadd|table_DDR1|DDR[1],6400000,
KERNEL_BUFFER_INFO,vadd|out_PLRAM|PLRAM[0],256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|PLRAM,512,
BUFFER_RD_ACTIVE_TIME_MS,all,0.20806,
BUFFER_WR_ACTIVE_TIME_MS,all,10.5247,
BUFFER_TX_ACTIVE_TIME_MS,all,725.86,
APPLICATION_RUN_TIME_MS,all,7111.12,


