Timeline Trace
Generated on: 2021-03-17 08:12:59
Msec since Epoch: 1615965179396
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
62.805006,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
62.826077,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
62.832901,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
62.835908,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
62.839961,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
62.842775,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
62.845375,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
62.847816,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
62.850605,clGetPlatformInfo|General,START,,,,,,,,,,,4,
62.854118,clGetPlatformInfo|General,END,,,,,,,,,,,4,
62.856605,clGetPlatformInfo|General,START,,,,,,,,,,,5,
62.858994,clGetPlatformInfo|General,END,,,,,,,,,,,5,
62.861526,clGetPlatformInfo|General,START,,,,,,,,,,,6,
62.863899,clGetPlatformInfo|General,END,,,,,,,,,,,6,
62.866133,clGetPlatformInfo|General,START,,,,,,,,,,,7,
62.868442,clGetPlatformInfo|General,END,,,,,,,,,,,7,
62.877126,clGetPlatformInfo|General,START,,,,,,,,,,,8,
62.879704,clGetPlatformInfo|General,END,,,,,,,,,,,8,
62.88268,clGetPlatformInfo|General,START,,,,,,,,,,,9,
62.885102,clGetPlatformInfo|General,END,,,,,,,,,,,9,
62.911917,clGetDeviceIDs|General,START,,,,,,,,,,,10,
62.916908,clGetDeviceIDs|General,END,,,,,,,,,,,10,
62.920228,clGetDeviceIDs|General,START,,,,,,,,,,,11,
62.923062,clGetDeviceIDs|General,END,,,,,,,,,,,11,
62.926697,clRetainDevice|General,START,,,,,,,,,,,12,
62.92973,clRetainDevice|General,END,,,,,,,,,,,12,
62.932868,clRetainDevice|General,START,,,,,,,,,,,13,
62.935422,clRetainDevice|General,END,,,,,,,,,,,13,
62.939444,clCreateContext|General,START,,,,,,,,,,,14,
62.948749,clCreateContext|General,END,,,,,,,,,,,14,
62.952484,clCreateCommandQueue|General,START,,,,,,,,,,,15,
62.957891,clCreateCommandQueue|General,END,,,,,,,,,,,15,
664.51303,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
6351.875591,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
6351.913061,clCreateKernel|General,START,,,,,,,,,,,17,
6352.237644,clCreateKernel|General,END,,,,,,,,,,,17,
6352.253472,clCreateBuffer|General,START,,,,,,,,,,,18,
6352.284653,clCreateBuffer|General,END,,,,,,,,,,,18,
6352.288238,clCreateBuffer|General,START,,,,,,,,,,,19,
6352.295423,clCreateBuffer|General,END,,,,,,,,,,,19,
6352.298219,clCreateBuffer|General,START,,,,,,,,,,,20,
