Timeline Trace
Generated on: 2021-03-19 08:53:21
Msec since Epoch: 1616140401309
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
46.985438,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
47.07755,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
47.284907,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
47.299133,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
47.312017,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
47.321907,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
47.33086,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
47.338826,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
47.36018,clGetPlatformInfo|General,START,,,,,,,,,,,4,
47.386128,clGetPlatformInfo|General,END,,,,,,,,,,,4,
47.38921,clGetPlatformInfo|General,START,,,,,,,,,,,5,
47.391844,clGetPlatformInfo|General,END,,,,,,,,,,,5,
47.394504,clGetPlatformInfo|General,START,,,,,,,,,,,6,
47.396911,clGetPlatformInfo|General,END,,,,,,,,,,,6,
47.399193,clGetPlatformInfo|General,START,,,,,,,,,,,7,
47.401528,clGetPlatformInfo|General,END,,,,,,,,,,,7,
47.41153,clGetPlatformInfo|General,START,,,,,,,,,,,8,
47.414244,clGetPlatformInfo|General,END,,,,,,,,,,,8,
47.418009,clGetPlatformInfo|General,START,,,,,,,,,,,9,
47.420383,clGetPlatformInfo|General,END,,,,,,,,,,,9,
47.445242,clGetDeviceIDs|General,START,,,,,,,,,,,10,
47.451653,clGetDeviceIDs|General,END,,,,,,,,,,,10,
47.454988,clGetDeviceIDs|General,START,,,,,,,,,,,11,
47.457649,clGetDeviceIDs|General,END,,,,,,,,,,,11,
47.461968,clRetainDevice|General,START,,,,,,,,,,,12,
47.470882,clRetainDevice|General,END,,,,,,,,,,,12,
47.474336,clRetainDevice|General,START,,,,,,,,,,,13,
47.476854,clRetainDevice|General,END,,,,,,,,,,,13,
47.482273,clCreateContext|General,START,,,,,,,,,,,14,
47.497281,clCreateContext|General,END,,,,,,,,,,,14,
47.501809,clCreateCommandQueue|General,START,,,,,,,,,,,15,
47.509179,clCreateCommandQueue|General,END,,,,,,,,,,,15,
607.093102,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
7299.363986,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
7299.409261,clCreateKernel|General,START,,,,,,,,,,,17,
7299.808154,clCreateKernel|General,END,,,,,,,,,,,17,
7299.826163,clCreateBuffer|General,START,,,,,,,,,,,18,
7299.877368,clCreateBuffer|General,END,,,,,,,,,,,18,
7299.88122,clCreateBuffer|General,START,,,,,,,,,,,19,
7299.890692,clCreateBuffer|General,END,,,,,,,,,,,19,
7299.893682,clCreateBuffer|General,START,,,,,,,,,,,20,
7299.900989,clCreateBuffer|General,END,,,,,,,,,,,20,
7299.90383,clCreateBuffer|General,START,,,,,,,,,,,21,
7299.910922,clCreateBuffer|General,END,,,,,,,,,,,21,
7299.913711,clCreateBuffer|General,START,,,,,,,,,,,22,
7299.921501,clCreateBuffer|General,END,,,,,,,,,,,22,
7299.924621,clCreateBuffer|General,START,,,,,,,,,,,23,
7299.93288,clCreateBuffer|General,END,,,,,,,,,,,23,
7299.935732,clCreateBuffer|General,START,,,,,,,,,,,24,
7299.942888,clCreateBuffer|General,END,,,,,,,,,,,24,
7299.94567,clCreateBuffer|General,START,,,,,,,,,,,25,
7299.954003,clCreateBuffer|General,END,,,,,,,,,,,25,
7299.956784,clCreateBuffer|General,START,,,,,,,,,,,26,
7299.964709,clCreateBuffer|General,END,,,,,,,,,,,26,
7299.967526,clCreateBuffer|General,START,,,,,,,,,,,27,
7299.97466,clCreateBuffer|General,END,,,,,,,,,,,27,
7299.977379,clCreateBuffer|General,START,,,,,,,,,,,28,
7299.98658,clCreateBuffer|General,END,,,,,,,,,,,28,
7299.989578,clCreateBuffer|General,START,,,,,,,,,,,29,
7299.99807,clCreateBuffer|General,END,,,,,,,,,,,29,
7300.000966,clCreateBuffer|General,START,,,,,,,,,,,30,
7300.009551,clCreateBuffer|General,END,,,,,,,,,,,30,
7300.0123,clCreateBuffer|General,START,,,,,,,,,,,31,
7300.01985,clCreateBuffer|General,END,,,,,,,,,,,31,
7300.022859,clCreateBuffer|General,START,,,,,,,,,,,32,
7300.031646,clCreateBuffer|General,END,,,,,,,,,,,32,
7300.034385,clCreateBuffer|General,START,,,,,,,,,,,33,
7300.043132,clCreateBuffer|General,END,,,,,,,,,,,33,
7300.045978,clCreateBuffer|General,START,,,,,,,,,,,34,
7300.054968,clCreateBuffer|General,END,,,,,,,,,,,34,
7300.057819,clCreateBuffer|General,START,,,,,,,,,,,35,
7300.066341,clCreateBuffer|General,END,,,,,,,,,,,35,
7300.06908,clCreateBuffer|General,START,,,,,,,,,,,36,
7300.076888,clCreateBuffer|General,END,,,,,,,,,,,36,
7300.079961,clCreateBuffer|General,START,,,,,,,,,,,37,
7300.088406,clCreateBuffer|General,END,,,,,,,,,,,37,
7300.09122,clCreateBuffer|General,START,,,,,,,,,,,38,
7300.0987,clCreateBuffer|General,END,,,,,,,,,,,38,
7300.101437,clCreateBuffer|General,START,,,,,,,,,,,39,
7300.110293,clCreateBuffer|General,END,,,,,,,,,,,39,
7300.113084,clCreateBuffer|General,START,,,,,,,,,,,40,
7300.120084,clCreateBuffer|General,END,,,,,,,,,,,40,
7300.122773,clCreateBuffer|General,START,,,,,,,,,,,41,
7300.131079,clCreateBuffer|General,END,,,,,,,,,,,41,
7300.133841,clCreateBuffer|General,START,,,,,,,,,,,42,
7300.142027,clCreateBuffer|General,END,,,,,,,,,,,42,
7300.144773,clCreateBuffer|General,START,,,,,,,,,,,43,
7300.151764,clCreateBuffer|General,END,,,,,,,,,,,43,
7300.154426,clCreateBuffer|General,START,,,,,,,,,,,44,
7300.161747,clCreateBuffer|General,END,,,,,,,,,,,44,
7300.164463,clCreateBuffer|General,START,,,,,,,,,,,45,
7300.175058,clCreateBuffer|General,END,,,,,,,,,,,45,
7300.177975,clCreateBuffer|General,START,,,,,,,,,,,46,
7300.185443,clCreateBuffer|General,END,,,,,,,,,,,46,
7300.188187,clCreateBuffer|General,START,,,,,,,,,,,47,
7300.195706,clCreateBuffer|General,END,,,,,,,,,,,47,
7300.198485,clCreateBuffer|General,START,,,,,,,,,,,48,
7300.206323,clCreateBuffer|General,END,,,,,,,,,,,48,
7300.209189,clCreateBuffer|General,START,,,,,,,,,,,49,
7300.216418,clCreateBuffer|General,END,,,,,,,,,,,49,
7300.2193,clCreateBuffer|General,START,,,,,,,,,,,50,
7300.270732,clCreateBuffer|General,END,,,,,,,,,,,50,
7300.273611,clCreateBuffer|General,START,,,,,,,,,,,51,
7300.311917,clCreateBuffer|General,END,,,,,,,,,,,51,
7300.314632,clCreateBuffer|General,START,,,,,,,,,,,52,
7300.461056,clCreateBuffer|General,END,,,,,,,,,,,52,
7300.595114,clSetKernelArg|General,START,,,,,,,,,,,53,
7300.608975,clSetKernelArg|General,END,,,,,,,,,,,53,
7300.612239,clSetKernelArg|General,START,,,,,,,,,,,54,
7300.615326,clSetKernelArg|General,END,,,,,,,,,,,54,
7300.617701,clSetKernelArg|General,START,,,,,,,,,,,55,
7300.620458,clSetKernelArg|General,END,,,,,,,,,,,55,
7300.622822,clSetKernelArg|General,START,,,,,,,,,,,56,
7300.625449,clSetKernelArg|General,END,,,,,,,,,,,56,
7300.627896,clSetKernelArg|General,START,,,,,,,,,,,57,
7300.63093,clSetKernelArg|General,END,,,,,,,,,,,57,
7300.633286,clSetKernelArg|General,START,,,,,,,,,,,58,
7300.636003,clSetKernelArg|General,END,,,,,,,,,,,58,
7300.638535,clSetKernelArg|General,START,,,,,,,,,,,59,
7300.640999,clSetKernelArg|General,END,,,,,,,,,,,59,
7300.643484,clSetKernelArg|General,START,,,,,,,,,,,60,
7300.646055,clSetKernelArg|General,END,,,,,,,,,,,60,
7300.648667,clSetKernelArg|General,START,,,,,,,,,,,61,
7300.651352,clSetKernelArg|General,END,,,,,,,,,,,61,
7300.65388,clSetKernelArg|General,START,,,,,,,,,,,62,
7300.656511,clSetKernelArg|General,END,,,,,,,,,,,62,
7300.658875,clSetKernelArg|General,START,,,,,,,,,,,63,
7300.66149,clSetKernelArg|General,END,,,,,,,,,,,63,
7300.663979,clSetKernelArg|General,START,,,,,,,,,,,64,
7300.666683,clSetKernelArg|General,END,,,,,,,,,,,64,
7300.669035,clSetKernelArg|General,START,,,,,,,,,,,65,
7300.671791,clSetKernelArg|General,END,,,,,,,,,,,65,
7300.67434,clSetKernelArg|General,START,,,,,,,,,,,66,
7300.676834,clSetKernelArg|General,END,,,,,,,,,,,66,
7300.679305,clSetKernelArg|General,START,,,,,,,,,,,67,
7300.681952,clSetKernelArg|General,END,,,,,,,,,,,67,
7300.684438,clSetKernelArg|General,START,,,,,,,,,,,68,
7300.686879,clSetKernelArg|General,END,,,,,,,,,,,68,
7300.689259,clSetKernelArg|General,START,,,,,,,,,,,69,
7300.692323,clSetKernelArg|General,END,,,,,,,,,,,69,
7300.69472,clSetKernelArg|General,START,,,,,,,,,,,70,
7300.697381,clSetKernelArg|General,END,,,,,,,,,,,70,
7300.699877,clSetKernelArg|General,START,,,,,,,,,,,71,
7300.702594,clSetKernelArg|General,END,,,,,,,,,,,71,
7300.704954,clSetKernelArg|General,START,,,,,,,,,,,72,
7300.707415,clSetKernelArg|General,END,,,,,,,,,,,72,
7300.71013,clSetKernelArg|General,START,,,,,,,,,,,73,
7300.712716,clSetKernelArg|General,END,,,,,,,,,,,73,
7300.737161,clSetKernelArg|General,START,,,,,,,,,,,74,
7300.740154,clSetKernelArg|General,END,,,,,,,,,,,74,
7300.742541,clSetKernelArg|General,START,,,,,,,,,,,75,
7300.745134,clSetKernelArg|General,END,,,,,,,,,,,75,
7300.747503,clSetKernelArg|General,START,,,,,,,,,,,76,
7300.750078,clSetKernelArg|General,END,,,,,,,,,,,76,
7300.752421,clSetKernelArg|General,START,,,,,,,,,,,77,
7300.755258,clSetKernelArg|General,END,,,,,,,,,,,77,
7300.757782,clSetKernelArg|General,START,,,,,,,,,,,78,
7300.760364,clSetKernelArg|General,END,,,,,,,,,,,78,
7300.762733,clSetKernelArg|General,START,,,,,,,,,,,79,
7300.765297,clSetKernelArg|General,END,,,,,,,,,,,79,
7300.767746,clSetKernelArg|General,START,,,,,,,,,,,80,
7300.77032,clSetKernelArg|General,END,,,,,,,,,,,80,
7300.772701,clSetKernelArg|General,START,,,,,,,,,,,81,
7300.77537,clSetKernelArg|General,END,,,,,,,,,,,81,
7300.77786,clSetKernelArg|General,START,,,,,,,,,,,82,
7300.780568,clSetKernelArg|General,END,,,,,,,,,,,82,
7300.782944,clSetKernelArg|General,START,,,,,,,,,,,83,
7300.785668,clSetKernelArg|General,END,,,,,,,,,,,83,
7300.788078,clSetKernelArg|General,START,,,,,,,,,,,84,
7300.790635,clSetKernelArg|General,END,,,,,,,,,,,84,
7300.793039,clSetKernelArg|General,START,,,,,,,,,,,85,
7300.796242,clSetKernelArg|General,END,,,,,,,,,,,85,
7300.798848,clSetKernelArg|General,START,,,,,,,,,,,86,
7300.801271,clSetKernelArg|General,END,,,,,,,,,,,86,
7300.803649,clSetKernelArg|General,START,,,,,,,,,,,87,
7300.80617,clSetKernelArg|General,END,,,,,,,,,,,87,
7300.819618,clRetainMemObject|General,START,,,,,,,,,,,88,
7300.824179,clRetainMemObject|General,END,,,,,,,,,,,88,
7300.826857,clRetainMemObject|General,START,,,,,,,,,,,89,
7300.829629,clRetainMemObject|General,END,,,,,,,,,,,89,
7300.832041,clRetainMemObject|General,START,,,,,,,,,,,90,
7300.834487,clRetainMemObject|General,END,,,,,,,,,,,90,
7300.83681,clRetainMemObject|General,START,,,,,,,,,,,91,
7300.839175,clRetainMemObject|General,END,,,,,,,,,,,91,
7300.841512,clRetainMemObject|General,START,,,,,,,,,,,92,
7300.844011,clRetainMemObject|General,END,,,,,,,,,,,92,
7300.846318,clRetainMemObject|General,START,,,,,,,,,,,93,
7300.848709,clRetainMemObject|General,END,,,,,,,,,,,93,
7300.851012,clRetainMemObject|General,START,,,,,,,,,,,94,
7300.853347,clRetainMemObject|General,END,,,,,,,,,,,94,
7300.855656,clRetainMemObject|General,START,,,,,,,,,,,95,
7300.858064,clRetainMemObject|General,END,,,,,,,,,,,95,
7300.860381,clRetainMemObject|General,START,,,,,,,,,,,96,
7300.862752,clRetainMemObject|General,END,,,,,,,,,,,96,
7300.865055,clRetainMemObject|General,START,,,,,,,,,,,97,
7300.867393,clRetainMemObject|General,END,,,,,,,,,,,97,
7300.869688,clRetainMemObject|General,START,,,,,,,,,,,98,
7300.877065,clRetainMemObject|General,END,,,,,,,,,,,98,
7300.879581,clRetainMemObject|General,START,,,,,,,,,,,99,
7300.881963,clRetainMemObject|General,END,,,,,,,,,,,99,
7300.884521,clRetainMemObject|General,START,,,,,,,,,,,100,
7300.886931,clRetainMemObject|General,END,,,,,,,,,,,100,
7300.88926,clRetainMemObject|General,START,,,,,,,,,,,101,
7300.891624,clRetainMemObject|General,END,,,,,,,,,,,101,
7300.893962,clRetainMemObject|General,START,,,,,,,,,,,102,
7300.896304,clRetainMemObject|General,END,,,,,,,,,,,102,
7300.89861,clRetainMemObject|General,START,,,,,,,,,,,103,
7300.900961,clRetainMemObject|General,END,,,,,,,,,,,103,
7300.903245,clRetainMemObject|General,START,,,,,,,,,,,104,
7300.905659,clRetainMemObject|General,END,,,,,,,,,,,104,
7300.908186,clRetainMemObject|General,START,,,,,,,,,,,105,
7300.910577,clRetainMemObject|General,END,,,,,,,,,,,105,
7300.912925,clRetainMemObject|General,START,,,,,,,,,,,106,
7300.915258,clRetainMemObject|General,END,,,,,,,,,,,106,
7300.917586,clRetainMemObject|General,START,,,,,,,,,,,107,
7300.919954,clRetainMemObject|General,END,,,,,,,,,,,107,
7300.922484,clRetainMemObject|General,START,,,,,,,,,,,108,
7300.924868,clRetainMemObject|General,END,,,,,,,,,,,108,
7300.92718,clRetainMemObject|General,START,,,,,,,,,,,109,
7300.929538,clRetainMemObject|General,END,,,,,,,,,,,109,
7300.931833,clRetainMemObject|General,START,,,,,,,,,,,110,
7300.934215,clRetainMemObject|General,END,,,,,,,,,,,110,
7300.936526,clRetainMemObject|General,START,,,,,,,,,,,111,
7300.938861,clRetainMemObject|General,END,,,,,,,,,,,111,
7300.941147,clRetainMemObject|General,START,,,,,,,,,,,112,
7300.943516,clRetainMemObject|General,END,,,,,,,,,,,112,
7300.945855,clRetainMemObject|General,START,,,,,,,,,,,113,
7300.948231,clRetainMemObject|General,END,,,,,,,,,,,113,
7300.950552,clRetainMemObject|General,START,,,,,,,,,,,114,
7300.952917,clRetainMemObject|General,END,,,,,,,,,,,114,
7300.955234,clRetainMemObject|General,START,,,,,,,,,,,115,
7300.957568,clRetainMemObject|General,END,,,,,,,,,,,115,
7300.959891,clRetainMemObject|General,START,,,,,,,,,,,116,
7300.962223,clRetainMemObject|General,END,,,,,,,,,,,116,
7300.964538,clRetainMemObject|General,START,,,,,,,,,,,117,
7300.966859,clRetainMemObject|General,END,,,,,,,,,,,117,
7300.969173,clRetainMemObject|General,START,,,,,,,,,,,118,
7300.971506,clRetainMemObject|General,END,,,,,,,,,,,118,
7300.97384,clRetainMemObject|General,START,,,,,,,,,,,119,
7300.976207,clRetainMemObject|General,END,,,,,,,,,,,119,
7300.978523,clRetainMemObject|General,START,,,,,,,,,,,120,
7300.981305,clRetainMemObject|General,END,,,,,,,,,,,120,
7300.983632,clRetainMemObject|General,START,,,,,,,,,,,121,
7300.985993,clRetainMemObject|General,END,,,,,,,,,,,121,
7300.98997,clRetainMemObject|General,START,,,,,,,,,,,122,
7300.992377,clRetainMemObject|General,END,,,,,,,,,,,122,
7300.994723,clRetainMemObject|General,START,,,,,,,,,,,123,
7300.997126,clRetainMemObject|General,END,,,,,,,,,,,123,
7300.999455,clRetainMemObject|General,START,,,,,,,,,,,124,
7301.001939,clRetainMemObject|General,END,,,,,,,,,,,124,
7301.004322,clRetainMemObject|General,START,,,,,,,,,,,125,
7301.006671,clRetainMemObject|General,END,,,,,,,,,,,125,
7301.008928,clRetainMemObject|General,START,,,,,,,,,,,126,
7301.011294,clRetainMemObject|General,END,,,,,,,,,,,126,
7301.013605,clRetainMemObject|General,START,,,,,,,,,,,127,
7301.015931,clRetainMemObject|General,END,,,,,,,,,,,127,
7301.018274,clRetainMemObject|General,START,,,,,,,,,,,128,
7301.020731,clRetainMemObject|General,END,,,,,,,,,,,128,
7301.023043,clRetainMemObject|General,START,,,,,,,,,,,129,
7301.025389,clRetainMemObject|General,END,,,,,,,,,,,129,
7301.027719,clRetainMemObject|General,START,,,,,,,,,,,130,
7301.030131,clRetainMemObject|General,END,,,,,,,,,,,130,
7301.032445,clRetainMemObject|General,START,,,,,,,,,,,131,
7301.034841,clRetainMemObject|General,END,,,,,,,,,,,131,
7301.037145,clRetainMemObject|General,START,,,,,,,,,,,132,
7301.039518,clRetainMemObject|General,END,,,,,,,,,,,132,
7301.041863,clRetainMemObject|General,START,,,,,,,,,,,133,
7301.044254,clRetainMemObject|General,END,,,,,,,,,,,133,
7301.046535,clRetainMemObject|General,START,,,,,,,,,,,134,
7301.048877,clRetainMemObject|General,END,,,,,,,,,,,134,
7301.051187,clRetainMemObject|General,START,,,,,,,,,,,135,
7301.053552,clRetainMemObject|General,END,,,,,,,,,,,135,
7301.05585,clRetainMemObject|General,START,,,,,,,,,,,136,
7301.05835,clRetainMemObject|General,END,,,,,,,,,,,136,
7301.060656,clRetainMemObject|General,START,,,,,,,,,,,137,
7301.06303,clRetainMemObject|General,END,,,,,,,,,,,137,
7301.06533,clRetainMemObject|General,START,,,,,,,,,,,138,
7301.067666,clRetainMemObject|General,END,,,,,,,,,,,138,
7301.069981,clRetainMemObject|General,START,,,,,,,,,,,139,
7301.072355,clRetainMemObject|General,END,,,,,,,,,,,139,
7301.074677,clRetainMemObject|General,START,,,,,,,,,,,140,
7301.077056,clRetainMemObject|General,END,,,,,,,,,,,140,
7301.07937,clRetainMemObject|General,START,,,,,,,,,,,141,
7301.081694,clRetainMemObject|General,END,,,,,,,,,,,141,
7301.083994,clRetainMemObject|General,START,,,,,,,,,,,142,
7301.086365,clRetainMemObject|General,END,,,,,,,,,,,142,
7301.088684,clRetainMemObject|General,START,,,,,,,,,,,143,
7301.091063,clRetainMemObject|General,END,,,,,,,,,,,143,
7301.093406,clRetainMemObject|General,START,,,,,,,,,,,144,
7301.095874,clRetainMemObject|General,END,,,,,,,,,,,144,
