Profile Summary
Generated on: 2020-12-14 20:32:50
Msec since Epoch: 1607974370194
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,72.1274,72.1274,72.1274,72.1274,
clFinish,1,10.3912,10.3912,10.3912,10.3912,
clReleaseProgram,1,9.28654,9.28654,9.28654,9.28654,
clCreateBuffer,35,0.370457,0.005897,0.0105845,0.045554,
clCreateKernel,1,0.331645,0.331645,0.331645,0.331645,
clReleaseMemObject,105,0.281216,0.002328,0.00267825,0.010285,
clRetainMemObject,70,0.168997,0.002277,0.00241424,0.003774,
clReleaseKernel,1,0.134412,0.134412,0.134412,0.134412,
clEnqueueMigrateMemObjects,2,0.100506,0.010232,0.050253,0.090274,
clSetKernelArg,35,0.097595,0.002454,0.00278843,0.009825,
clEnqueueTask,1,0.071659,0.071659,0.071659,0.071659,
clGetExtensionFunctionAddress,2,0.059636,0.007874,0.029818,0.051762,
clGetPlatformInfo,6,0.015573,0.002297,0.0025955,0.003447,
clCreateContext,1,0.010554,0.010554,0.010554,0.010554,
clGetExtensionFunctionAddressForPlatform,2,0.009883,0.002709,0.0049415,0.007174,
clRetainDevice,2,0.008481,0.002523,0.0042405,0.005958,
clGetDeviceIDs,2,0.008066,0.002772,0.004033,0.005294,
clCreateCommandQueue,1,0.006853,0.006853,0.006853,0.006853,
clReleaseDevice,2,0.00588,0.00271,0.00294,0.00317,
clReleaseCommandQueue,1,0.004711,0.004711,0.004711,0.004711,
clReleaseContext,1,0.004106,0.004106,0.004106,0.004106,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,0.353694,0.353694,0.353694,0.353694,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,1,1.000000x,0.0015,0.0015,0.0015,0.0015,140,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,3.705419,0.038598,0.256,0.069088,0.069088,
context0:1,WRITE,1,1371.692800,14.288467,14080,10.264689,10.264689,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem32,table_DDR0,DDR[0],READ,2,280,2.43056,0.064,396.429,
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem34,out_PLRAM,PLRAM[0],WRITE,2,628.772,5.45809,0.128,278.571,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_xdma_201920_3-0,vadd_1,4,96,2.34375,0.000384,0.000256,0.000128,440.656,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94131818138336,vadd,0,0,xilinx_u280_xdma_201920_3-0,156.879,0.353694,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,146.563,10.264689,14080,1371.692800,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
8589934592,0,0,157.309,0.069088,0.256,3.705419,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_xdma_201920_3-0,0.353694,
CU_CALLS,xilinx_u280_xdma_201920_3-0|vadd_1,1,
MEMORY_BIT_WIDTH,xilinx_u280_xdma_201920_3-0,512,
MIGRATE_MEM,host,2,
MEMORY_USAGE,DDR[0],1,
MEMORY_USAGE,DDR[1],1,
MEMORY_USAGE,HBM[0],1,
MEMORY_USAGE,HBM[10],1,
MEMORY_USAGE,HBM[11],1,
MEMORY_USAGE,HBM[12],1,
MEMORY_USAGE,HBM[13],1,
MEMORY_USAGE,HBM[14],1,
MEMORY_USAGE,HBM[15],1,
MEMORY_USAGE,HBM[16],1,
MEMORY_USAGE,HBM[17],1,
MEMORY_USAGE,HBM[18],1,
MEMORY_USAGE,HBM[19],1,
MEMORY_USAGE,HBM[1],1,
MEMORY_USAGE,HBM[20],1,
MEMORY_USAGE,HBM[21],1,
MEMORY_USAGE,HBM[22],1,
MEMORY_USAGE,HBM[23],1,
MEMORY_USAGE,HBM[24],1,
MEMORY_USAGE,HBM[25],1,
MEMORY_USAGE,HBM[26],1,
MEMORY_USAGE,HBM[27],1,
MEMORY_USAGE,HBM[28],1,
MEMORY_USAGE,HBM[29],1,
MEMORY_USAGE,HBM[2],1,
MEMORY_USAGE,HBM[30],1,
MEMORY_USAGE,HBM[31],1,
MEMORY_USAGE,HBM[3],1,
MEMORY_USAGE,HBM[4],1,
MEMORY_USAGE,HBM[5],1,
MEMORY_USAGE,HBM[6],1,
MEMORY_USAGE,HBM[7],1,
MEMORY_USAGE,HBM[8],1,
MEMORY_USAGE,HBM[9],1,
MEMORY_USAGE,PLRAM[0],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem10,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem11,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem12,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem13,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem14,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem15,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem16,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem17,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem18,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem19,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem20,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem21,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem22,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem23,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem24,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem25,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem26,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem27,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem28,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem29,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem3,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem30,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem31,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem32,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem33,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem34,64,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem4,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem5,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem6,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem7,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem8,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem9,32,
KERNEL_COUNT,vadd,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,vadd,1,
COMMAND_QUEUE_OOO,94131817962784,0,
PLRAM_SIZE_BYTES,xilinx_u280_xdma_201920_3-0,131072,
KERNEL_BUFFER_INFO,vadd|table_HBM0|HBM[0],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM1|HBM[1],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM2|HBM[2],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM3|HBM[3],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM4|HBM[4],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM5|HBM[5],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM6|HBM[6],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM7|HBM[7],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM8|HBM[8],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM9|HBM[9],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM10|HBM[10],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM11|HBM[11],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM12|HBM[12],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM13|HBM[13],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM14|HBM[14],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM15|HBM[15],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM16|HBM[16],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM17|HBM[17],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM18|HBM[18],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM19|HBM[19],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM20|HBM[20],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM21|HBM[21],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM22|HBM[22],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM23|HBM[23],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM24|HBM[24],40000,
KERNEL_BUFFER_INFO,vadd|table_HBM25|HBM[25],40000,
