Timeline Trace
Generated on: 2020-12-14 20:32:50
Msec since Epoch: 1607974370195
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
32.757586,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
32.799022,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
32.806196,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
32.809348,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
32.814417,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
32.817132,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
32.819841,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
32.822291,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
32.825461,clGetPlatformInfo|General,START,,,,,,,,,,,4,
32.828908,clGetPlatformInfo|General,END,,,,,,,,,,,4,
32.831411,clGetPlatformInfo|General,START,,,,,,,,,,,5,
32.833815,clGetPlatformInfo|General,END,,,,,,,,,,,5,
32.836361,clGetPlatformInfo|General,START,,,,,,,,,,,6,
32.838742,clGetPlatformInfo|General,END,,,,,,,,,,,6,
32.840972,clGetPlatformInfo|General,START,,,,,,,,,,,7,
32.843269,clGetPlatformInfo|General,END,,,,,,,,,,,7,
32.854395,clGetPlatformInfo|General,START,,,,,,,,,,,8,
32.857062,clGetPlatformInfo|General,END,,,,,,,,,,,8,
32.860043,clGetPlatformInfo|General,START,,,,,,,,,,,9,
32.86242,clGetPlatformInfo|General,END,,,,,,,,,,,9,
32.881473,clGetDeviceIDs|General,START,,,,,,,,,,,10,
32.886767,clGetDeviceIDs|General,END,,,,,,,,,,,10,
32.890304,clGetDeviceIDs|General,START,,,,,,,,,,,11,
32.893076,clGetDeviceIDs|General,END,,,,,,,,,,,11,
32.89924,clRetainDevice|General,START,,,,,,,,,,,12,
32.905198,clRetainDevice|General,END,,,,,,,,,,,12,
32.908375,clRetainDevice|General,START,,,,,,,,,,,13,
32.910898,clRetainDevice|General,END,,,,,,,,,,,13,
32.914776,clCreateContext|General,START,,,,,,,,,,,14,
32.92533,clCreateContext|General,END,,,,,,,,,,,14,
32.929302,clCreateCommandQueue|General,START,,,,,,,,,,,15,
32.936155,clCreateCommandQueue|General,END,,,,,,,,,,,15,
72.91172,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
145.039103,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
145.078791,clCreateKernel|General,START,,,,,,,,,,,17,
145.410436,clCreateKernel|General,END,,,,,,,,,,,17,
145.418636,clCreateBuffer|General,START,,,,,,,,,,,18,
145.443988,clCreateBuffer|General,END,,,,,,,,,,,18,
145.447139,clCreateBuffer|General,START,,,,,,,,,,,19,
145.454857,clCreateBuffer|General,END,,,,,,,,,,,19,
145.457683,clCreateBuffer|General,START,,,,,,,,,,,20,
145.467075,clCreateBuffer|General,END,,,,,,,,,,,20,
145.469903,clCreateBuffer|General,START,,,,,,,,,,,21,
145.477998,clCreateBuffer|General,END,,,,,,,,,,,21,
145.480735,clCreateBuffer|General,START,,,,,,,,,,,22,
145.487346,clCreateBuffer|General,END,,,,,,,,,,,22,
145.490215,clCreateBuffer|General,START,,,,,,,,,,,23,
145.496575,clCreateBuffer|General,END,,,,,,,,,,,23,
145.499377,clCreateBuffer|General,START,,,,,,,,,,,24,
145.505645,clCreateBuffer|General,END,,,,,,,,,,,24,
145.508389,clCreateBuffer|General,START,,,,,,,,,,,25,
145.514626,clCreateBuffer|General,END,,,,,,,,,,,25,
145.517375,clCreateBuffer|General,START,,,,,,,,,,,26,
145.527042,clCreateBuffer|General,END,,,,,,,,,,,26,
145.529809,clCreateBuffer|General,START,,,,,,,,,,,27,
145.536796,clCreateBuffer|General,END,,,,,,,,,,,27,
145.539506,clCreateBuffer|General,START,,,,,,,,,,,28,
145.546072,clCreateBuffer|General,END,,,,,,,,,,,28,
145.549013,clCreateBuffer|General,START,,,,,,,,,,,29,
145.555676,clCreateBuffer|General,END,,,,,,,,,,,29,
145.558418,clCreateBuffer|General,START,,,,,,,,,,,30,
145.565051,clCreateBuffer|General,END,,,,,,,,,,,30,
145.567805,clCreateBuffer|General,START,,,,,,,,,,,31,
145.574855,clCreateBuffer|General,END,,,,,,,,,,,31,
145.577619,clCreateBuffer|General,START,,,,,,,,,,,32,
145.584396,clCreateBuffer|General,END,,,,,,,,,,,32,
145.587043,clCreateBuffer|General,START,,,,,,,,,,,33,
145.594503,clCreateBuffer|General,END,,,,,,,,,,,33,
145.597184,clCreateBuffer|General,START,,,,,,,,,,,34,
145.604557,clCreateBuffer|General,END,,,,,,,,,,,34,
145.607365,clCreateBuffer|General,START,,,,,,,,,,,35,
145.615065,clCreateBuffer|General,END,,,,,,,,,,,35,
145.617778,clCreateBuffer|General,START,,,,,,,,,,,36,
145.625445,clCreateBuffer|General,END,,,,,,,,,,,36,
145.628176,clCreateBuffer|General,START,,,,,,,,,,,37,
145.635192,clCreateBuffer|General,END,,,,,,,,,,,37,
145.637964,clCreateBuffer|General,START,,,,,,,,,,,38,
145.645128,clCreateBuffer|General,END,,,,,,,,,,,38,
145.647917,clCreateBuffer|General,START,,,,,,,,,,,39,
145.654614,clCreateBuffer|General,END,,,,,,,,,,,39,
145.657343,clCreateBuffer|General,START,,,,,,,,,,,40,
145.663659,clCreateBuffer|General,END,,,,,,,,,,,40,
145.6664,clCreateBuffer|General,START,,,,,,,,,,,41,
145.673628,clCreateBuffer|General,END,,,,,,,,,,,41,
145.676226,clCreateBuffer|General,START,,,,,,,,,,,42,
145.683787,clCreateBuffer|General,END,,,,,,,,,,,42,
145.686557,clCreateBuffer|General,START,,,,,,,,,,,43,
145.693913,clCreateBuffer|General,END,,,,,,,,,,,43,
145.696648,clCreateBuffer|General,START,,,,,,,,,,,44,
145.703409,clCreateBuffer|General,END,,,,,,,,,,,44,
145.706068,clCreateBuffer|General,START,,,,,,,,,,,45,
145.712433,clCreateBuffer|General,END,,,,,,,,,,,45,
145.715113,clCreateBuffer|General,START,,,,,,,,,,,46,
145.72101,clCreateBuffer|General,END,,,,,,,,,,,46,
145.723744,clCreateBuffer|General,START,,,,,,,,,,,47,
145.730619,clCreateBuffer|General,END,,,,,,,,,,,47,
145.733646,clCreateBuffer|General,START,,,,,,,,,,,48,
145.741795,clCreateBuffer|General,END,,,,,,,,,,,48,
145.744534,clCreateBuffer|General,START,,,,,,,,,,,49,
145.751115,clCreateBuffer|General,END,,,,,,,,,,,49,
145.753943,clCreateBuffer|General,START,,,,,,,,,,,50,
145.799497,clCreateBuffer|General,END,,,,,,,,,,,50,
145.802449,clCreateBuffer|General,START,,,,,,,,,,,51,
145.842504,clCreateBuffer|General,END,,,,,,,,,,,51,
145.845302,clCreateBuffer|General,START,,,,,,,,,,,52,
145.883608,clCreateBuffer|General,END,,,,,,,,,,,52,
145.887311,clSetKernelArg|General,START,,,,,,,,,,,53,
145.897136,clSetKernelArg|General,END,,,,,,,,,,,53,
145.899829,clSetKernelArg|General,START,,,,,,,,,,,54,
145.902804,clSetKernelArg|General,END,,,,,,,,,,,54,
145.905303,clSetKernelArg|General,START,,,,,,,,,,,55,
145.907963,clSetKernelArg|General,END,,,,,,,,,,,55,
145.910385,clSetKernelArg|General,START,,,,,,,,,,,56,
145.912936,clSetKernelArg|General,END,,,,,,,,,,,56,
145.915399,clSetKernelArg|General,START,,,,,,,,,,,57,
145.917971,clSetKernelArg|General,END,,,,,,,,,,,57,
145.920463,clSetKernelArg|General,START,,,,,,,,,,,58,
145.922985,clSetKernelArg|General,END,,,,,,,,,,,58,
145.925328,clSetKernelArg|General,START,,,,,,,,,,,59,
145.927997,clSetKernelArg|General,END,,,,,,,,,,,59,
145.930355,clSetKernelArg|General,START,,,,,,,,,,,60,
145.93299,clSetKernelArg|General,END,,,,,,,,,,,60,
145.935396,clSetKernelArg|General,START,,,,,,,,,,,61,
145.938144,clSetKernelArg|General,END,,,,,,,,,,,61,
145.94053,clSetKernelArg|General,START,,,,,,,,,,,62,
145.943092,clSetKernelArg|General,END,,,,,,,,,,,62,
145.945553,clSetKernelArg|General,START,,,,,,,,,,,63,
145.948089,clSetKernelArg|General,END,,,,,,,,,,,63,
145.950563,clSetKernelArg|General,START,,,,,,,,,,,64,
145.953072,clSetKernelArg|General,END,,,,,,,,,,,64,
145.95544,clSetKernelArg|General,START,,,,,,,,,,,65,
145.958081,clSetKernelArg|General,END,,,,,,,,,,,65,
145.960464,clSetKernelArg|General,START,,,,,,,,,,,66,
145.96305,clSetKernelArg|General,END,,,,,,,,,,,66,
145.965412,clSetKernelArg|General,START,,,,,,,,,,,67,
145.968058,clSetKernelArg|General,END,,,,,,,,,,,67,
145.970395,clSetKernelArg|General,START,,,,,,,,,,,68,
145.972885,clSetKernelArg|General,END,,,,,,,,,,,68,
145.975457,clSetKernelArg|General,START,,,,,,,,,,,69,
145.978082,clSetKernelArg|General,END,,,,,,,,,,,69,
145.980658,clSetKernelArg|General,START,,,,,,,,,,,70,
145.983119,clSetKernelArg|General,END,,,,,,,,,,,70,
145.98552,clSetKernelArg|General,START,,,,,,,,,,,71,
145.988196,clSetKernelArg|General,END,,,,,,,,,,,71,
145.990568,clSetKernelArg|General,START,,,,,,,,,,,72,
145.993252,clSetKernelArg|General,END,,,,,,,,,,,72,
145.995673,clSetKernelArg|General,START,,,,,,,,,,,73,
145.998166,clSetKernelArg|General,END,,,,,,,,,,,73,
146.000704,clSetKernelArg|General,START,,,,,,,,,,,74,
146.003198,clSetKernelArg|General,END,,,,,,,,,,,74,
146.019371,clSetKernelArg|General,START,,,,,,,,,,,75,
146.022135,clSetKernelArg|General,END,,,,,,,,,,,75,
146.024572,clSetKernelArg|General,START,,,,,,,,,,,76,
146.027038,clSetKernelArg|General,END,,,,,,,,,,,76,
146.029372,clSetKernelArg|General,START,,,,,,,,,,,77,
146.031908,clSetKernelArg|General,END,,,,,,,,,,,77,
146.034286,clSetKernelArg|General,START,,,,,,,,,,,78,
146.036761,clSetKernelArg|General,END,,,,,,,,,,,78,
146.039107,clSetKernelArg|General,START,,,,,,,,,,,79,
146.041561,clSetKernelArg|General,END,,,,,,,,,,,79,
146.043895,clSetKernelArg|General,START,,,,,,,,,,,80,
146.046402,clSetKernelArg|General,END,,,,,,,,,,,80,
146.048755,clSetKernelArg|General,START,,,,,,,,,,,81,
146.051304,clSetKernelArg|General,END,,,,,,,,,,,81,
146.053669,clSetKernelArg|General,START,,,,,,,,,,,82,
146.056131,clSetKernelArg|General,END,,,,,,,,,,,82,
146.058526,clSetKernelArg|General,START,,,,,,,,,,,83,
146.060993,clSetKernelArg|General,END,,,,,,,,,,,83,
146.063336,clSetKernelArg|General,START,,,,,,,,,,,84,
146.065861,clSetKernelArg|General,END,,,,,,,,,,,84,
146.068188,clSetKernelArg|General,START,,,,,,,,,,,85,
146.07105,clSetKernelArg|General,END,,,,,,,,,,,85,
146.073543,clSetKernelArg|General,START,,,,,,,,,,,86,
146.076033,clSetKernelArg|General,END,,,,,,,,,,,86,
146.078416,clSetKernelArg|General,START,,,,,,,,,,,87,
146.080894,clSetKernelArg|General,END,,,,,,,,,,,87,
146.086082,clRetainMemObject|General,START,,,,,,,,,,,88,
146.089856,clRetainMemObject|General,END,,,,,,,,,,,88,
146.09251,clRetainMemObject|General,START,,,,,,,,,,,89,
146.095175,clRetainMemObject|General,END,,,,,,,,,,,89,
146.09756,clRetainMemObject|General,START,,,,,,,,,,,90,
146.09998,clRetainMemObject|General,END,,,,,,,,,,,90,
146.102359,clRetainMemObject|General,START,,,,,,,,,,,91,
146.1047,clRetainMemObject|General,END,,,,,,,,,,,91,
146.106986,clRetainMemObject|General,START,,,,,,,,,,,92,
146.109338,clRetainMemObject|General,END,,,,,,,,,,,92,
146.111617,clRetainMemObject|General,START,,,,,,,,,,,93,
146.113971,clRetainMemObject|General,END,,,,,,,,,,,93,
146.116311,clRetainMemObject|General,START,,,,,,,,,,,94,
146.118629,clRetainMemObject|General,END,,,,,,,,,,,94,
146.121,clRetainMemObject|General,START,,,,,,,,,,,95,
146.123393,clRetainMemObject|General,END,,,,,,,,,,,95,
146.125755,clRetainMemObject|General,START,,,,,,,,,,,96,
146.128159,clRetainMemObject|General,END,,,,,,,,,,,96,
146.130526,clRetainMemObject|General,START,,,,,,,,,,,97,
146.132877,clRetainMemObject|General,END,,,,,,,,,,,97,
146.135201,clRetainMemObject|General,START,,,,,,,,,,,98,
146.137569,clRetainMemObject|General,END,,,,,,,,,,,98,
146.139902,clRetainMemObject|General,START,,,,,,,,,,,99,
146.142291,clRetainMemObject|General,END,,,,,,,,,,,99,
146.144582,clRetainMemObject|General,START,,,,,,,,,,,100,
146.146944,clRetainMemObject|General,END,,,,,,,,,,,100,
146.149283,clRetainMemObject|General,START,,,,,,,,,,,101,
146.151716,clRetainMemObject|General,END,,,,,,,,,,,101,
146.154066,clRetainMemObject|General,START,,,,,,,,,,,102,
146.156405,clRetainMemObject|General,END,,,,,,,,,,,102,
146.158706,clRetainMemObject|General,START,,,,,,,,,,,103,
146.161128,clRetainMemObject|General,END,,,,,,,,,,,103,
146.163477,clRetainMemObject|General,START,,,,,,,,,,,104,
146.1659,clRetainMemObject|General,END,,,,,,,,,,,104,
146.168296,clRetainMemObject|General,START,,,,,,,,,,,105,
146.170698,clRetainMemObject|General,END,,,,,,,,,,,105,
146.173091,clRetainMemObject|General,START,,,,,,,,,,,106,
146.175455,clRetainMemObject|General,END,,,,,,,,,,,106,
146.177797,clRetainMemObject|General,START,,,,,,,,,,,107,
146.180176,clRetainMemObject|General,END,,,,,,,,,,,107,
146.182519,clRetainMemObject|General,START,,,,,,,,,,,108,
146.184873,clRetainMemObject|General,END,,,,,,,,,,,108,
146.187197,clRetainMemObject|General,START,,,,,,,,,,,109,
146.189603,clRetainMemObject|General,END,,,,,,,,,,,109,
146.191943,clRetainMemObject|General,START,,,,,,,,,,,110,
146.1943,clRetainMemObject|General,END,,,,,,,,,,,110,
146.196673,clRetainMemObject|General,START,,,,,,,,,,,111,
146.199018,clRetainMemObject|General,END,,,,,,,,,,,111,
146.20137,clRetainMemObject|General,START,,,,,,,,,,,112,
146.203789,clRetainMemObject|General,END,,,,,,,,,,,112,
146.206112,clRetainMemObject|General,START,,,,,,,,,,,113,
146.208506,clRetainMemObject|General,END,,,,,,,,,,,113,
146.210853,clRetainMemObject|General,START,,,,,,,,,,,114,
146.213189,clRetainMemObject|General,END,,,,,,,,,,,114,
146.215528,clRetainMemObject|General,START,,,,,,,,,,,115,
146.217887,clRetainMemObject|General,END,,,,,,,,,,,115,
146.220251,clRetainMemObject|General,START,,,,,,,,,,,116,
146.222619,clRetainMemObject|General,END,,,,,,,,,,,116,
146.224951,clRetainMemObject|General,START,,,,,,,,,,,117,
146.227295,clRetainMemObject|General,END,,,,,,,,,,,117,
146.229675,clRetainMemObject|General,START,,,,,,,,,,,118,
146.232052,clRetainMemObject|General,END,,,,,,,,,,,118,
146.234342,clRetainMemObject|General,START,,,,,,,,,,,119,
146.236722,clRetainMemObject|General,END,,,,,,,,,,,119,
146.239115,clRetainMemObject|General,START,,,,,,,,,,,120,
146.241657,clRetainMemObject|General,END,,,,,,,,,,,120,
146.243991,clRetainMemObject|General,START,,,,,,,,,,,121,
146.246397,clRetainMemObject|General,END,,,,,,,,,,,121,
146.250006,clRetainMemObject|General,START,,,,,,,,,,,122,
146.252435,clRetainMemObject|General,END,,,,,,,,,,,122,
146.254854,clRetainMemObject|General,START,,,,,,,,,,,123,
146.257255,clRetainMemObject|General,END,,,,,,,,,,,123,
146.259689,clRetainMemObject|General,START,,,,,,,,,,,124,
146.262023,clRetainMemObject|General,END,,,,,,,,,,,124,
146.264391,clRetainMemObject|General,START,,,,,,,,,,,125,
146.266765,clRetainMemObject|General,END,,,,,,,,,,,125,
146.269153,clRetainMemObject|General,START,,,,,,,,,,,126,
146.271561,clRetainMemObject|General,END,,,,,,,,,,,126,
146.273961,clRetainMemObject|General,START,,,,,,,,,,,127,
146.276292,clRetainMemObject|General,END,,,,,,,,,,,127,
146.27866,clRetainMemObject|General,START,,,,,,,,,,,128,
146.281009,clRetainMemObject|General,END,,,,,,,,,,,128,
146.283332,clRetainMemObject|General,START,,,,,,,,,,,129,
146.285664,clRetainMemObject|General,END,,,,,,,,,,,129,
146.28805,clRetainMemObject|General,START,,,,,,,,,,,130,
146.290439,clRetainMemObject|General,END,,,,,,,,,,,130,
146.292825,clRetainMemObject|General,START,,,,,,,,,,,131,
146.29518,clRetainMemObject|General,END,,,,,,,,,,,131,
146.297581,clRetainMemObject|General,START,,,,,,,,,,,132,
146.299913,clRetainMemObject|General,END,,,,,,,,,,,132,
146.302264,clRetainMemObject|General,START,,,,,,,,,,,133,
146.30459,clRetainMemObject|General,END,,,,,,,,,,,133,
146.306947,clRetainMemObject|General,START,,,,,,,,,,,134,
146.309263,clRetainMemObject|General,END,,,,,,,,,,,134,
146.31164,clRetainMemObject|General,START,,,,,,,,,,,135,
146.313961,clRetainMemObject|General,END,,,,,,,,,,,135,
146.31631,clRetainMemObject|General,START,,,,,,,,,,,136,
146.318715,clRetainMemObject|General,END,,,,,,,,,,,136,
146.32112,clRetainMemObject|General,START,,,,,,,,,,,137,
146.32343,clRetainMemObject|General,END,,,,,,,,,,,137,
146.325753,clRetainMemObject|General,START,,,,,,,,,,,138,
146.328139,clRetainMemObject|General,END,,,,,,,,,,,138,
146.330538,clRetainMemObject|General,START,,,,,,,,,,,139,
146.332901,clRetainMemObject|General,END,,,,,,,,,,,139,
146.335264,clRetainMemObject|General,START,,,,,,,,,,,140,
146.337656,clRetainMemObject|General,END,,,,,,,,,,,140,
146.340008,clRetainMemObject|General,START,,,,,,,,,,,141,
146.342285,clRetainMemObject|General,END,,,,,,,,,,,141,
146.344636,clRetainMemObject|General,START,,,,,,,,,,,142,
146.346969,clRetainMemObject|General,END,,,,,,,,,,,142,
146.349323,clRetainMemObject|General,START,,,,,,,,,,,143,
146.351709,clRetainMemObject|General,END,,,,,,,,,,,143,
146.354107,clRetainMemObject|General,START,,,,,,,,,,,144,
