Timeline Trace
Generated on: 2020-11-05 15:50:46
Msec since Epoch: 1604587846289
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
268.861908,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
268.889801,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
268.901249,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
268.906096,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
268.91321,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
268.917806,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
268.922272,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
268.926099,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
268.931402,clGetPlatformInfo|General,START,,,,,,,,,,,4,
268.936862,clGetPlatformInfo|General,END,,,,,,,,,,,4,
268.940867,clGetPlatformInfo|General,START,,,,,,,,,,,5,
268.944858,clGetPlatformInfo|General,END,,,,,,,,,,,5,
268.949085,clGetPlatformInfo|General,START,,,,,,,,,,,6,
268.952788,clGetPlatformInfo|General,END,,,,,,,,,,,6,
268.956373,clGetPlatformInfo|General,START,,,,,,,,,,,7,
268.960128,clGetPlatformInfo|General,END,,,,,,,,,,,7,
268.974238,clGetPlatformInfo|General,START,,,,,,,,,,,8,
268.978243,clGetPlatformInfo|General,END,,,,,,,,,,,8,
268.983155,clGetPlatformInfo|General,START,,,,,,,,,,,9,
268.986761,clGetPlatformInfo|General,END,,,,,,,,,,,9,
269.310057,clGetDeviceIDs|General,START,,,,,,,,,,,10,
269.318807,clGetDeviceIDs|General,END,,,,,,,,,,,10,
269.324345,clGetDeviceIDs|General,START,,,,,,,,,,,11,
269.328889,clGetDeviceIDs|General,END,,,,,,,,,,,11,
269.338821,clRetainDevice|General,START,,,,,,,,,,,12,
269.343743,clRetainDevice|General,END,,,,,,,,,,,12,
269.348947,clRetainDevice|General,START,,,,,,,,,,,13,
269.353078,clRetainDevice|General,END,,,,,,,,,,,13,
269.358626,clCreateContext|General,START,,,,,,,,,,,14,
269.365773,clCreateContext|General,END,,,,,,,,,,,14,
269.371799,clCreateCommandQueue|General,START,,,,,,,,,,,15,
269.378614,clCreateCommandQueue|General,END,,,,,,,,,,,15,
713.170766,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
145701.394,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
145701.7709,clCreateKernel|General,START,,,,,,,,,,,17,
145702.1807,clCreateKernel|General,END,,,,,,,,,,,17,
145702.1919,clCreateBuffer|General,START,,,,,,,,,,,18,
