Timeline Trace
Generated on: 2020-12-16 09:28:18
Msec since Epoch: 1608107298194
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
49.23821,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
49.261893,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
49.270922,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
49.27454,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
49.279351,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
49.282582,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
49.285554,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
49.288036,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
49.291093,clGetPlatformInfo|General,START,,,,,,,,,,,4,
49.294796,clGetPlatformInfo|General,END,,,,,,,,,,,4,
49.29747,clGetPlatformInfo|General,START,,,,,,,,,,,5,
49.303029,clGetPlatformInfo|General,END,,,,,,,,,,,5,
49.306025,clGetPlatformInfo|General,START,,,,,,,,,,,6,
49.308569,clGetPlatformInfo|General,END,,,,,,,,,,,6,
49.310977,clGetPlatformInfo|General,START,,,,,,,,,,,7,
49.313416,clGetPlatformInfo|General,END,,,,,,,,,,,7,
49.324305,clGetPlatformInfo|General,START,,,,,,,,,,,8,
49.327256,clGetPlatformInfo|General,END,,,,,,,,,,,8,
49.330563,clGetPlatformInfo|General,START,,,,,,,,,,,9,
49.333125,clGetPlatformInfo|General,END,,,,,,,,,,,9,
49.34596,clGetDeviceIDs|General,START,,,,,,,,,,,10,
49.352185,clGetDeviceIDs|General,END,,,,,,,,,,,10,
49.355844,clGetDeviceIDs|General,START,,,,,,,,,,,11,
49.358936,clGetDeviceIDs|General,END,,,,,,,,,,,11,
49.362667,clRetainDevice|General,START,,,,,,,,,,,12,
49.365845,clRetainDevice|General,END,,,,,,,,,,,12,
49.369051,clRetainDevice|General,START,,,,,,,,,,,13,
49.371705,clRetainDevice|General,END,,,,,,,,,,,13,
49.376217,clCreateContext|General,START,,,,,,,,,,,14,
49.385759,clCreateContext|General,END,,,,,,,,,,,14,
49.390375,clCreateCommandQueue|General,START,,,,,,,,,,,15,
49.39664,clCreateCommandQueue|General,END,,,,,,,,,,,15,
370.287356,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
7350.460581,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
7350.500931,clCreateKernel|General,START,,,,,,,,,,,17,
7350.879521,clCreateKernel|General,END,,,,,,,,,,,17,
7350.893668,clCreateBuffer|General,START,,,,,,,,,,,18,
7351.471535,clCreateBuffer|General,END,,,,,,,,,,,18,
7351.480725,clCreateBuffer|General,START,,,,,,,,,,,19,
7352.156799,clCreateBuffer|General,END,,,,,,,,,,,19,
7352.1616,clCreateBuffer|General,START,,,,,,,,,,,20,
7352.851574,clCreateBuffer|General,END,,,,,,,,,,,20,
7352.858288,clCreateBuffer|General,START,,,,,,,,,,,21,
7353.522574,clCreateBuffer|General,END,,,,,,,,,,,21,
7353.528655,clCreateBuffer|General,START,,,,,,,,,,,22,
7354.185972,clCreateBuffer|General,END,,,,,,,,,,,22,
7354.190909,clCreateBuffer|General,START,,,,,,,,,,,23,
7354.886717,clCreateBuffer|General,END,,,,,,,,,,,23,
7354.892223,clCreateBuffer|General,START,,,,,,,,,,,24,
7355.633392,clCreateBuffer|General,END,,,,,,,,,,,24,
7355.638346,clCreateBuffer|General,START,,,,,,,,,,,25,
7356.373254,clCreateBuffer|General,END,,,,,,,,,,,25,
7356.377727,clCreateBuffer|General,START,,,,,,,,,,,26,
7357.136449,clCreateBuffer|General,END,,,,,,,,,,,26,
7357.141014,clCreateBuffer|General,START,,,,,,,,,,,27,
7357.882929,clCreateBuffer|General,END,,,,,,,,,,,27,
7357.887536,clCreateBuffer|General,START,,,,,,,,,,,28,
7358.625405,clCreateBuffer|General,END,,,,,,,,,,,28,
7358.629595,clCreateBuffer|General,START,,,,,,,,,,,29,
7359.466172,clCreateBuffer|General,END,,,,,,,,,,,29,
7359.477546,clCreateBuffer|General,START,,,,,,,,,,,30,
7360.203665,clCreateBuffer|General,END,,,,,,,,,,,30,
7360.209172,clCreateBuffer|General,START,,,,,,,,,,,31,
7360.936604,clCreateBuffer|General,END,,,,,,,,,,,31,
7360.942396,clCreateBuffer|General,START,,,,,,,,,,,32,
7361.588712,clCreateBuffer|General,END,,,,,,,,,,,32,
7361.593477,clCreateBuffer|General,START,,,,,,,,,,,33,
7362.293252,clCreateBuffer|General,END,,,,,,,,,,,33,
7362.297873,clCreateBuffer|General,START,,,,,,,,,,,34,
7362.90014,clCreateBuffer|General,END,,,,,,,,,,,34,
7362.905546,clCreateBuffer|General,START,,,,,,,,,,,35,
7363.634493,clCreateBuffer|General,END,,,,,,,,,,,35,
7363.639006,clCreateBuffer|General,START,,,,,,,,,,,36,
7364.361609,clCreateBuffer|General,END,,,,,,,,,,,36,
7364.370666,clCreateBuffer|General,START,,,,,,,,,,,37,
7365.103389,clCreateBuffer|General,END,,,,,,,,,,,37,
7365.107888,clCreateBuffer|General,START,,,,,,,,,,,38,
7365.849246,clCreateBuffer|General,END,,,,,,,,,,,38,
7365.853631,clCreateBuffer|General,START,,,,,,,,,,,39,
7366.595772,clCreateBuffer|General,END,,,,,,,,,,,39,
7366.600155,clCreateBuffer|General,START,,,,,,,,,,,40,
7367.3552,clCreateBuffer|General,END,,,,,,,,,,,40,
7367.360114,clCreateBuffer|General,START,,,,,,,,,,,41,
7368.081494,clCreateBuffer|General,END,,,,,,,,,,,41,
7368.085778,clCreateBuffer|General,START,,,,,,,,,,,42,
7368.832467,clCreateBuffer|General,END,,,,,,,,,,,42,
7368.839203,clCreateBuffer|General,START,,,,,,,,,,,43,
7369.567596,clCreateBuffer|General,END,,,,,,,,,,,43,
7369.572077,clCreateBuffer|General,START,,,,,,,,,,,44,
7370.30541,clCreateBuffer|General,END,,,,,,,,,,,44,
7370.309713,clCreateBuffer|General,START,,,,,,,,,,,45,
7371.049325,clCreateBuffer|General,END,,,,,,,,,,,45,
7371.054144,clCreateBuffer|General,START,,,,,,,,,,,46,
7371.773022,clCreateBuffer|General,END,,,,,,,,,,,46,
7371.777307,clCreateBuffer|General,START,,,,,,,,,,,47,
7372.511957,clCreateBuffer|General,END,,,,,,,,,,,47,
7372.516509,clCreateBuffer|General,START,,,,,,,,,,,48,
7373.245998,clCreateBuffer|General,END,,,,,,,,,,,48,
7373.250335,clCreateBuffer|General,START,,,,,,,,,,,49,
7373.986665,clCreateBuffer|General,END,,,,,,,,,,,49,
7373.991018,clCreateBuffer|General,START,,,,,,,,,,,50,
