Timeline Trace
Generated on: 2021-01-16 12:28:40
Msec since Epoch: 1610796520360
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
68.609642,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
68.664791,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
68.68817,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
68.699805,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
68.715655,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
68.726455,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
68.736941,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
68.746422,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
68.764201,clGetPlatformInfo|General,START,,,,,,,,,,,4,
68.776794,clGetPlatformInfo|General,END,,,,,,,,,,,4,
68.787045,clGetPlatformInfo|General,START,,,,,,,,,,,5,
68.797454,clGetPlatformInfo|General,END,,,,,,,,,,,5,
68.807987,clGetPlatformInfo|General,START,,,,,,,,,,,6,
68.817966,clGetPlatformInfo|General,END,,,,,,,,,,,6,
68.827484,clGetPlatformInfo|General,START,,,,,,,,,,,7,
68.837359,clGetPlatformInfo|General,END,,,,,,,,,,,7,
68.863798,clGetPlatformInfo|General,START,,,,,,,,,,,8,
68.874756,clGetPlatformInfo|General,END,,,,,,,,,,,8,
68.886223,clGetPlatformInfo|General,START,,,,,,,,,,,9,
68.896241,clGetPlatformInfo|General,END,,,,,,,,,,,9,
70.041158,clGetDeviceIDs|General,START,,,,,,,,,,,10,
70.064428,clGetDeviceIDs|General,END,,,,,,,,,,,10,
70.07749,clGetDeviceIDs|General,START,,,,,,,,,,,11,
70.088946,clGetDeviceIDs|General,END,,,,,,,,,,,11,
70.101206,clRetainDevice|General,START,,,,,,,,,,,12,
70.112228,clRetainDevice|General,END,,,,,,,,,,,12,
70.12477,clRetainDevice|General,START,,,,,,,,,,,13,
70.135262,clRetainDevice|General,END,,,,,,,,,,,13,
70.148757,clCreateContext|General,START,,,,,,,,,,,14,
70.170453,clCreateContext|General,END,,,,,,,,,,,14,
70.18439,clCreateCommandQueue|General,START,,,,,,,,,,,15,
70.198923,clCreateCommandQueue|General,END,,,,,,,,,,,15,
433.932956,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
138028.3038,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
138028.815,clCreateKernel|General,START,,,,,,,,,,,17,
138030.1747,clCreateKernel|General,END,,,,,,,,,,,17,
138030.211,clCreateBuffer|General,START,,,,,,,,,,,18,
138030.8698,clCreateBuffer|General,END,,,,,,,,,,,18,
138030.885,clCreateBuffer|General,START,,,,,,,,,,,19,
138031.0729,clCreateBuffer|General,END,,,,,,,,,,,19,
138031.0871,clCreateBuffer|General,START,,,,,,,,,,,20,
138031.5235,clCreateBuffer|General,END,,,,,,,,,,,20,
