Timeline Trace
Generated on: 2021-01-17 11:33:52
Msec since Epoch: 1610879632507
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
72.198556,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
72.217851,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
72.2255,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
72.228678,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
72.233118,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
72.23593,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
72.238733,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
72.241131,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
72.248194,clGetPlatformInfo|General,START,,,,,,,,,,,4,
72.251836,clGetPlatformInfo|General,END,,,,,,,,,,,4,
72.254327,clGetPlatformInfo|General,START,,,,,,,,,,,5,
72.256798,clGetPlatformInfo|General,END,,,,,,,,,,,5,
72.259263,clGetPlatformInfo|General,START,,,,,,,,,,,6,
72.261565,clGetPlatformInfo|General,END,,,,,,,,,,,6,
72.263804,clGetPlatformInfo|General,START,,,,,,,,,,,7,
72.266147,clGetPlatformInfo|General,END,,,,,,,,,,,7,
72.27517,clGetPlatformInfo|General,START,,,,,,,,,,,8,
72.277784,clGetPlatformInfo|General,END,,,,,,,,,,,8,
72.280916,clGetPlatformInfo|General,START,,,,,,,,,,,9,
72.28328,clGetPlatformInfo|General,END,,,,,,,,,,,9,
72.304219,clGetDeviceIDs|General,START,,,,,,,,,,,10,
72.30962,clGetDeviceIDs|General,END,,,,,,,,,,,10,
72.313328,clGetDeviceIDs|General,START,,,,,,,,,,,11,
72.316113,clGetDeviceIDs|General,END,,,,,,,,,,,11,
72.31957,clRetainDevice|General,START,,,,,,,,,,,12,
72.325563,clRetainDevice|General,END,,,,,,,,,,,12,
72.328724,clRetainDevice|General,START,,,,,,,,,,,13,
72.331341,clRetainDevice|General,END,,,,,,,,,,,13,
72.335274,clCreateContext|General,START,,,,,,,,,,,14,
72.345027,clCreateContext|General,END,,,,,,,,,,,14,
72.348958,clCreateCommandQueue|General,START,,,,,,,,,,,15,
72.355212,clCreateCommandQueue|General,END,,,,,,,,,,,15,
885.517167,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
7729.487388,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
7729.527673,clCreateKernel|General,START,,,,,,,,,,,17,
7729.872035,clCreateKernel|General,END,,,,,,,,,,,17,
7729.887734,clCreateBuffer|General,START,,,,,,,,,,,18,
7729.92486,clCreateBuffer|General,END,,,,,,,,,,,18,
7729.928398,clCreateBuffer|General,START,,,,,,,,,,,19,
7729.937357,clCreateBuffer|General,END,,,,,,,,,,,19,
7729.940386,clCreateBuffer|General,START,,,,,,,,,,,20,
7729.948283,clCreateBuffer|General,END,,,,,,,,,,,20,
7729.951071,clCreateBuffer|General,START,,,,,,,,,,,21,
7729.958835,clCreateBuffer|General,END,,,,,,,,,,,21,
7729.961607,clCreateBuffer|General,START,,,,,,,,,,,22,
7729.968629,clCreateBuffer|General,END,,,,,,,,,,,22,
7729.971461,clCreateBuffer|General,START,,,,,,,,,,,23,
7729.97868,clCreateBuffer|General,END,,,,,,,,,,,23,
7729.981437,clCreateBuffer|General,START,,,,,,,,,,,24,
7729.988926,clCreateBuffer|General,END,,,,,,,,,,,24,
7729.991644,clCreateBuffer|General,START,,,,,,,,,,,25,
7729.998954,clCreateBuffer|General,END,,,,,,,,,,,25,
7730.00171,clCreateBuffer|General,START,,,,,,,,,,,26,
7730.010163,clCreateBuffer|General,END,,,,,,,,,,,26,
7730.012939,clCreateBuffer|General,START,,,,,,,,,,,27,
7730.020182,clCreateBuffer|General,END,,,,,,,,,,,27,
7730.022797,clCreateBuffer|General,START,,,,,,,,,,,28,
7730.031171,clCreateBuffer|General,END,,,,,,,,,,,28,
7730.033936,clCreateBuffer|General,START,,,,,,,,,,,29,
7730.040899,clCreateBuffer|General,END,,,,,,,,,,,29,
7730.043732,clCreateBuffer|General,START,,,,,,,,,,,30,
7730.05062,clCreateBuffer|General,END,,,,,,,,,,,30,
7730.053365,clCreateBuffer|General,START,,,,,,,,,,,31,
7730.061208,clCreateBuffer|General,END,,,,,,,,,,,31,
7730.064026,clCreateBuffer|General,START,,,,,,,,,,,32,
7730.071006,clCreateBuffer|General,END,,,,,,,,,,,32,
7730.073701,clCreateBuffer|General,START,,,,,,,,,,,33,
7730.080903,clCreateBuffer|General,END,,,,,,,,,,,33,
7730.083623,clCreateBuffer|General,START,,,,,,,,,,,34,
7730.104555,clCreateBuffer|General,END,,,,,,,,,,,34,
7730.109306,clCreateBuffer|General,START,,,,,,,,,,,35,
7730.119657,clCreateBuffer|General,END,,,,,,,,,,,35,
7730.122935,clCreateBuffer|General,START,,,,,,,,,,,36,
7730.129968,clCreateBuffer|General,END,,,,,,,,,,,36,
7730.132797,clCreateBuffer|General,START,,,,,,,,,,,37,
7730.140029,clCreateBuffer|General,END,,,,,,,,,,,37,
7730.142789,clCreateBuffer|General,START,,,,,,,,,,,38,
7730.149348,clCreateBuffer|General,END,,,,,,,,,,,38,
7730.152095,clCreateBuffer|General,START,,,,,,,,,,,39,
7730.158593,clCreateBuffer|General,END,,,,,,,,,,,39,
7730.161381,clCreateBuffer|General,START,,,,,,,,,,,40,
7730.167242,clCreateBuffer|General,END,,,,,,,,,,,40,
7730.170301,clCreateBuffer|General,START,,,,,,,,,,,41,
7730.175975,clCreateBuffer|General,END,,,,,,,,,,,41,
7730.17888,clCreateBuffer|General,START,,,,,,,,,,,42,
7730.185246,clCreateBuffer|General,END,,,,,,,,,,,42,
7730.188079,clCreateBuffer|General,START,,,,,,,,,,,43,
7730.19392,clCreateBuffer|General,END,,,,,,,,,,,43,
7730.196553,clCreateBuffer|General,START,,,,,,,,,,,44,
7730.201962,clCreateBuffer|General,END,,,,,,,,,,,44,
7730.204597,clCreateBuffer|General,START,,,,,,,,,,,45,
7730.210075,clCreateBuffer|General,END,,,,,,,,,,,45,
7730.212723,clCreateBuffer|General,START,,,,,,,,,,,46,
7730.218867,clCreateBuffer|General,END,,,,,,,,,,,46,
7730.221528,clCreateBuffer|General,START,,,,,,,,,,,47,
7730.227173,clCreateBuffer|General,END,,,,,,,,,,,47,
7730.229877,clCreateBuffer|General,START,,,,,,,,,,,48,
7730.235662,clCreateBuffer|General,END,,,,,,,,,,,48,
7730.238356,clCreateBuffer|General,START,,,,,,,,,,,49,
7730.244418,clCreateBuffer|General,END,,,,,,,,,,,49,
7730.247142,clCreateBuffer|General,START,,,,,,,,,,,50,
7730.316141,clCreateBuffer|General,END,,,,,,,,,,,50,
7730.319071,clCreateBuffer|General,START,,,,,,,,,,,51,
7730.378212,clCreateBuffer|General,END,,,,,,,,,,,51,
7730.381066,clCreateBuffer|General,START,,,,,,,,,,,52,
7730.419825,clCreateBuffer|General,END,,,,,,,,,,,52,
7730.424045,clSetKernelArg|General,START,,,,,,,,,,,53,
7730.430218,clSetKernelArg|General,END,,,,,,,,,,,53,
7730.433029,clSetKernelArg|General,START,,,,,,,,,,,54,
7730.435843,clSetKernelArg|General,END,,,,,,,,,,,54,
7730.438332,clSetKernelArg|General,START,,,,,,,,,,,55,
7730.440989,clSetKernelArg|General,END,,,,,,,,,,,55,
7730.443638,clSetKernelArg|General,START,,,,,,,,,,,56,
7730.446205,clSetKernelArg|General,END,,,,,,,,,,,56,
7730.448592,clSetKernelArg|General,START,,,,,,,,,,,57,
7730.451323,clSetKernelArg|General,END,,,,,,,,,,,57,
7730.453832,clSetKernelArg|General,START,,,,,,,,,,,58,
7730.456403,clSetKernelArg|General,END,,,,,,,,,,,58,
7730.458779,clSetKernelArg|General,START,,,,,,,,,,,59,
7730.46127,clSetKernelArg|General,END,,,,,,,,,,,59,
7730.463649,clSetKernelArg|General,START,,,,,,,,,,,60,
7730.466089,clSetKernelArg|General,END,,,,,,,,,,,60,
