Profile Summary
Generated on: 2021-01-17 11:32:25
Msec since Epoch: 1610879545323
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,6932.58,6932.58,6932.58,6932.58,
clFinish,1,849.527,849.527,849.527,849.527,
clReleaseProgram,1,9.30699,9.30699,9.30699,9.30699,
clCreateBuffer,35,0.404637,0.00609,0.0115611,0.054304,
clCreateKernel,1,0.370422,0.370422,0.370422,0.370422,
clReleaseMemObject,105,0.283593,0.002312,0.00270089,0.0099,
clGetExtensionFunctionAddress,2,0.230264,0.008172,0.115132,0.222092,
clGetExtensionFunctionAddressForPlatform,2,0.190682,0.002831,0.095341,0.187851,
clRetainMemObject,70,0.179174,0.00234,0.00255963,0.006455,
clReleaseKernel,1,0.177746,0.177746,0.177746,0.177746,
clEnqueueTask,1,0.165596,0.165596,0.165596,0.165596,
clEnqueueMigrateMemObjects,2,0.122154,0.014463,0.061077,0.107691,
clSetKernelArg,35,0.1114,0.002446,0.00318286,0.018837,
clCreateContext,1,0.019985,0.019985,0.019985,0.019985,
clGetDeviceIDs,2,0.018333,0.00559,0.0091665,0.012743,
clCreateCommandQueue,1,0.017796,0.017796,0.017796,0.017796,
clGetPlatformInfo,6,0.015732,0.002265,0.002622,0.003758,
clRetainDevice,2,0.007944,0.003594,0.003972,0.00435,
clReleaseDevice,2,0.005863,0.002732,0.0029315,0.003131,
clReleaseCommandQueue,1,0.005578,0.005578,0.005578,0.005578,
clReleaseContext,1,0.004244,0.004244,0.004244,0.004244,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,839.452,839.452,839.452,839.452,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,1,1.000000x,838.866,838.866,838.866,838.866,160,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,0.226643,0.002361,0.08,0.352978,0.352978,
context0:1,WRITE,1,1426.134296,14.855566,14080,9.872843,9.872843,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem34,out_PLRAM,PLRAM[0],WRITE,1,525.128,4.5584,0.128,243.75,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_xdma_201920_3-0,vadd_1,1,384,9.375,0.000384,0.000128,0.000256,458.507,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94381781182688,vadd,0,0,xilinx_u280_xdma_201920_3-0,8284.03,839.452,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,8274.05,9.872843,14080,1426.134296,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
8589934592,0,0,9123.72,0.352978,0.08,0.226643,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_xdma_201920_3-0,839.452467,
CU_CALLS,xilinx_u280_xdma_201920_3-0|vadd_1,1,
MEMORY_BIT_WIDTH,xilinx_u280_xdma_201920_3-0,512,
MIGRATE_MEM,host,2,
MEMORY_USAGE,DDR[0],1,
MEMORY_USAGE,DDR[1],1,
MEMORY_USAGE,HBM[0],1,
MEMORY_USAGE,HBM[10],1,
MEMORY_USAGE,HBM[11],1,
MEMORY_USAGE,HBM[12],1,
MEMORY_USAGE,HBM[13],1,
MEMORY_USAGE,HBM[14],1,
MEMORY_USAGE,HBM[15],1,
MEMORY_USAGE,HBM[16],1,
MEMORY_USAGE,HBM[17],1,
MEMORY_USAGE,HBM[18],1,
MEMORY_USAGE,HBM[19],1,
MEMORY_USAGE,HBM[1],1,
MEMORY_USAGE,HBM[20],1,
MEMORY_USAGE,HBM[21],1,
MEMORY_USAGE,HBM[22],1,
MEMORY_USAGE,HBM[23],1,
MEMORY_USAGE,HBM[24],1,
MEMORY_USAGE,HBM[25],1,
MEMORY_USAGE,HBM[26],1,
MEMORY_USAGE,HBM[27],1,
MEMORY_USAGE,HBM[28],1,
MEMORY_USAGE,HBM[29],1,
MEMORY_USAGE,HBM[2],1,
MEMORY_USAGE,HBM[30],1,
MEMORY_USAGE,HBM[31],1,
MEMORY_USAGE,HBM[3],1,
MEMORY_USAGE,HBM[4],1,
MEMORY_USAGE,HBM[5],1,
MEMORY_USAGE,HBM[6],1,
MEMORY_USAGE,HBM[7],1,
MEMORY_USAGE,HBM[8],1,
MEMORY_USAGE,HBM[9],1,
MEMORY_USAGE,PLRAM[0],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem10,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem11,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem12,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem13,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem14,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem15,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem16,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem17,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem18,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem19,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem20,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem21,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem22,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem23,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem24,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem25,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem26,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem27,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem28,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem29,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem3,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem30,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem31,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem32,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem33,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem34,64,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem4,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem5,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem6,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem7,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem8,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem9,32,
KERNEL_COUNT,vadd,1,
