Timeline Trace
Generated on: 2021-01-17 11:32:25
Msec since Epoch: 1610879545324
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
33.997499,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
34.025884,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
34.213735,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
34.219591,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
34.227228,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
34.230197,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
34.233028,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
34.2354,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
34.239842,clGetPlatformInfo|General,START,,,,,,,,,,,4,
34.2436,clGetPlatformInfo|General,END,,,,,,,,,,,4,
34.246044,clGetPlatformInfo|General,START,,,,,,,,,,,5,
34.248485,clGetPlatformInfo|General,END,,,,,,,,,,,5,
34.251365,clGetPlatformInfo|General,START,,,,,,,,,,,6,
34.25372,clGetPlatformInfo|General,END,,,,,,,,,,,6,
34.255977,clGetPlatformInfo|General,START,,,,,,,,,,,7,
34.258242,clGetPlatformInfo|General,END,,,,,,,,,,,7,
34.273851,clGetPlatformInfo|General,START,,,,,,,,,,,8,
34.276393,clGetPlatformInfo|General,END,,,,,,,,,,,8,
34.280137,clGetPlatformInfo|General,START,,,,,,,,,,,9,
34.282508,clGetPlatformInfo|General,END,,,,,,,,,,,9,
34.309242,clGetDeviceIDs|General,START,,,,,,,,,,,10,
34.321985,clGetDeviceIDs|General,END,,,,,,,,,,,10,
34.327423,clGetDeviceIDs|General,START,,,,,,,,,,,11,
34.333013,clGetDeviceIDs|General,END,,,,,,,,,,,11,
34.341387,clRetainDevice|General,START,,,,,,,,,,,12,
34.345737,clRetainDevice|General,END,,,,,,,,,,,12,
34.350224,clRetainDevice|General,START,,,,,,,,,,,13,
34.353818,clRetainDevice|General,END,,,,,,,,,,,13,
34.363796,clCreateContext|General,START,,,,,,,,,,,14,
34.383781,clCreateContext|General,END,,,,,,,,,,,14,
34.396094,clCreateCommandQueue|General,START,,,,,,,,,,,15,
34.41389,clCreateCommandQueue|General,END,,,,,,,,,,,15,
