Timeline Trace
Generated on: 2020-11-06 13:53:05
Msec since Epoch: 1604667185627
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
117.999837,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
118.030975,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
118.042979,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
118.057793,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
118.065568,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
118.070458,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
118.075418,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
118.079873,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
118.085968,clGetPlatformInfo|General,START,,,,,,,,,,,4,
118.091853,clGetPlatformInfo|General,END,,,,,,,,,,,4,
118.096293,clGetPlatformInfo|General,START,,,,,,,,,,,5,
118.100807,clGetPlatformInfo|General,END,,,,,,,,,,,5,
118.105696,clGetPlatformInfo|General,START,,,,,,,,,,,6,
118.11015,clGetPlatformInfo|General,END,,,,,,,,,,,6,
118.114416,clGetPlatformInfo|General,START,,,,,,,,,,,7,
118.118837,clGetPlatformInfo|General,END,,,,,,,,,,,7,
118.132383,clGetPlatformInfo|General,START,,,,,,,,,,,8,
118.13691,clGetPlatformInfo|General,END,,,,,,,,,,,8,
118.142731,clGetPlatformInfo|General,START,,,,,,,,,,,9,
118.147165,clGetPlatformInfo|General,END,,,,,,,,,,,9,
118.1744,clGetDeviceIDs|General,START,,,,,,,,,,,10,
118.185294,clGetDeviceIDs|General,END,,,,,,,,,,,10,
118.19132,clGetDeviceIDs|General,START,,,,,,,,,,,11,
118.196274,clGetDeviceIDs|General,END,,,,,,,,,,,11,
118.202383,clRetainDevice|General,START,,,,,,,,,,,12,
118.207631,clRetainDevice|General,END,,,,,,,,,,,12,
118.213196,clRetainDevice|General,START,,,,,,,,,,,13,
118.217959,clRetainDevice|General,END,,,,,,,,,,,13,
118.224059,clCreateContext|General,START,,,,,,,,,,,14,
118.234469,clCreateContext|General,END,,,,,,,,,,,14,
118.240883,clCreateCommandQueue|General,START,,,,,,,,,,,15,
118.247947,clCreateCommandQueue|General,END,,,,,,,,,,,15,
119.214829,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
177.607192,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
177.68655,clCreateKernel|General,START,,,,,,,,,,,17,
178.958304,clCreateKernel|General,END,,,,,,,,,,,17,
178.986991,clCreateBuffer|General,START,,,,,,,,,,,18,
179.127526,clCreateBuffer|General,END,,,,,,,,,,,18,
179.142613,clCreateBuffer|General,START,,,,,,,,,,,19,
181.805647,clCreateBuffer|General,END,,,,,,,,,,,19,
181.841294,clCreateBuffer|General,START,,,,,,,,,,,20,
184.170365,clCreateBuffer|General,END,,,,,,,,,,,20,
184.205392,clCreateBuffer|General,START,,,,,,,,,,,21,
184.48838,clCreateBuffer|General,END,,,,,,,,,,,21,
184.504032,clCreateBuffer|General,START,,,,,,,,,,,22,
184.817948,clCreateBuffer|General,END,,,,,,,,,,,22,
184.831007,clCreateBuffer|General,START,,,,,,,,,,,23,
185.168326,clCreateBuffer|General,END,,,,,,,,,,,23,
185.180828,clCreateBuffer|General,START,,,,,,,,,,,24,
185.496495,clCreateBuffer|General,END,,,,,,,,,,,24,
185.508633,clCreateBuffer|General,START,,,,,,,,,,,25,
185.790634,clCreateBuffer|General,END,,,,,,,,,,,25,
185.802426,clCreateBuffer|General,START,,,,,,,,,,,26,
186.532342,clCreateBuffer|General,END,,,,,,,,,,,26,
186.545512,clCreateBuffer|General,START,,,,,,,,,,,27,
186.841606,clCreateBuffer|General,END,,,,,,,,,,,27,
186.853342,clCreateBuffer|General,START,,,,,,,,,,,28,
187.18739,clCreateBuffer|General,END,,,,,,,,,,,28,
187.199214,clCreateBuffer|General,START,,,,,,,,,,,29,
187.491639,clCreateBuffer|General,END,,,,,,,,,,,29,
187.503607,clCreateBuffer|General,START,,,,,,,,,,,30,
187.792044,clCreateBuffer|General,END,,,,,,,,,,,30,
187.803679,clCreateBuffer|General,START,,,,,,,,,,,31,
188.155301,clCreateBuffer|General,END,,,,,,,,,,,31,
188.166811,clCreateBuffer|General,START,,,,,,,,,,,32,
188.527209,clCreateBuffer|General,END,,,,,,,,,,,32,
188.538976,clCreateBuffer|General,START,,,,,,,,,,,33,
188.824895,clCreateBuffer|General,END,,,,,,,,,,,33,
188.837416,clCreateBuffer|General,START,,,,,,,,,,,34,
189.167635,clCreateBuffer|General,END,,,,,,,,,,,34,
189.17931,clCreateBuffer|General,START,,,,,,,,,,,35,
189.470826,clCreateBuffer|General,END,,,,,,,,,,,35,
189.48257,clCreateBuffer|General,START,,,,,,,,,,,36,
189.773765,clCreateBuffer|General,END,,,,,,,,,,,36,
189.78552,clCreateBuffer|General,START,,,,,,,,,,,37,
190.561468,clCreateBuffer|General,END,,,,,,,,,,,37,
190.574418,clCreateBuffer|General,START,,,,,,,,,,,38,
190.908141,clCreateBuffer|General,END,,,,,,,,,,,38,
190.919905,clCreateBuffer|General,START,,,,,,,,,,,39,
191.236071,clCreateBuffer|General,END,,,,,,,,,,,39,
191.247546,clCreateBuffer|General,START,,,,,,,,,,,40,
191.62477,clCreateBuffer|General,END,,,,,,,,,,,40,
191.636228,clCreateBuffer|General,START,,,,,,,,,,,41,
191.934015,clCreateBuffer|General,END,,,,,,,,,,,41,
191.945562,clCreateBuffer|General,START,,,,,,,,,,,42,
192.274831,clCreateBuffer|General,END,,,,,,,,,,,42,
192.286302,clCreateBuffer|General,START,,,,,,,,,,,43,
192.615386,clCreateBuffer|General,END,,,,,,,,,,,43,
192.626864,clCreateBuffer|General,START,,,,,,,,,,,44,
192.972803,clCreateBuffer|General,END,,,,,,,,,,,44,
192.984536,clCreateBuffer|General,START,,,,,,,,,,,45,
193.294638,clCreateBuffer|General,END,,,,,,,,,,,45,
193.306194,clCreateBuffer|General,START,,,,,,,,,,,46,
193.670211,clCreateBuffer|General,END,,,,,,,,,,,46,
193.681659,clCreateBuffer|General,START,,,,,,,,,,,47,
194.009126,clCreateBuffer|General,END,,,,,,,,,,,47,
194.021332,clCreateBuffer|General,START,,,,,,,,,,,48,
194.503494,clCreateBuffer|General,END,,,,,,,,,,,48,
194.515679,clCreateBuffer|General,START,,,,,,,,,,,49,
194.807989,clCreateBuffer|General,END,,,,,,,,,,,49,
194.819747,clCreateBuffer|General,START,,,,,,,,,,,50,
195.12356,clCreateBuffer|General,END,,,,,,,,,,,50,
195.135717,clCreateBuffer|General,START,,,,,,,,,,,51,
195.474003,clCreateBuffer|General,END,,,,,,,,,,,51,
195.485593,clCreateBuffer|General,START,,,,,,,,,,,52,
195.775465,clCreateBuffer|General,END,,,,,,,,,,,52,
195.788051,clSetKernelArg|General,START,,,,,,,,,,,53,
195.807064,clSetKernelArg|General,END,,,,,,,,,,,53,
195.817744,clSetKernelArg|General,START,,,,,,,,,,,54,
195.828465,clSetKernelArg|General,END,,,,,,,,,,,54,
195.838325,clSetKernelArg|General,START,,,,,,,,,,,55,
195.848557,clSetKernelArg|General,END,,,,,,,,,,,55,
195.85834,clSetKernelArg|General,START,,,,,,,,,,,56,
195.868387,clSetKernelArg|General,END,,,,,,,,,,,56,
195.877978,clSetKernelArg|General,START,,,,,,,,,,,57,
195.888042,clSetKernelArg|General,END,,,,,,,,,,,57,
195.897592,clSetKernelArg|General,START,,,,,,,,,,,58,
195.907476,clSetKernelArg|General,END,,,,,,,,,,,58,
195.916949,clSetKernelArg|General,START,,,,,,,,,,,59,
195.927021,clSetKernelArg|General,END,,,,,,,,,,,59,
195.936552,clSetKernelArg|General,START,,,,,,,,,,,60,
195.948484,clSetKernelArg|General,END,,,,,,,,,,,60,
195.958082,clSetKernelArg|General,START,,,,,,,,,,,61,
195.968374,clSetKernelArg|General,END,,,,,,,,,,,61,
195.977809,clSetKernelArg|General,START,,,,,,,,,,,62,
195.987579,clSetKernelArg|General,END,,,,,,,,,,,62,
195.997001,clSetKernelArg|General,START,,,,,,,,,,,63,
196.006897,clSetKernelArg|General,END,,,,,,,,,,,63,
196.016306,clSetKernelArg|General,START,,,,,,,,,,,64,
196.026217,clSetKernelArg|General,END,,,,,,,,,,,64,
196.035684,clSetKernelArg|General,START,,,,,,,,,,,65,
196.045519,clSetKernelArg|General,END,,,,,,,,,,,65,
