Timeline Trace
Generated on: 2020-11-02 18:12:36
Msec since Epoch: 1604337156416
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
466.066428,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
466.144034,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
466.170601,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
466.183871,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
466.201501,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
466.213096,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
466.224334,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
466.234318,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
466.248531,clGetPlatformInfo|General,START,,,,,,,,,,,4,
466.26226,clGetPlatformInfo|General,END,,,,,,,,,,,4,
466.272957,clGetPlatformInfo|General,START,,,,,,,,,,,5,
466.283485,clGetPlatformInfo|General,END,,,,,,,,,,,5,
466.294599,clGetPlatformInfo|General,START,,,,,,,,,,,6,
466.304558,clGetPlatformInfo|General,END,,,,,,,,,,,6,
466.31439,clGetPlatformInfo|General,START,,,,,,,,,,,7,
466.324108,clGetPlatformInfo|General,END,,,,,,,,,,,7,
466.352579,clGetPlatformInfo|General,START,,,,,,,,,,,8,
466.363504,clGetPlatformInfo|General,END,,,,,,,,,,,8,
466.375605,clGetPlatformInfo|General,START,,,,,,,,,,,9,
466.385275,clGetPlatformInfo|General,END,,,,,,,,,,,9,
466.723028,clGetDeviceIDs|General,START,,,,,,,,,,,10,
466.745789,clGetDeviceIDs|General,END,,,,,,,,,,,10,
466.759454,clGetDeviceIDs|General,START,,,,,,,,,,,11,
466.771573,clGetDeviceIDs|General,END,,,,,,,,,,,11,
466.793919,clRetainDevice|General,START,,,,,,,,,,,12,
466.806276,clRetainDevice|General,END,,,,,,,,,,,12,
466.819378,clRetainDevice|General,START,,,,,,,,,,,13,
466.830688,clRetainDevice|General,END,,,,,,,,,,,13,
466.844233,clCreateContext|General,START,,,,,,,,,,,14,
466.860892,clCreateContext|General,END,,,,,,,,,,,14,
466.883693,clCreateCommandQueue|General,START,,,,,,,,,,,15,
466.901054,clCreateCommandQueue|General,END,,,,,,,,,,,15,
1369.884478,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
138647.874,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
138648.3984,clCreateKernel|General,START,,,,,,,,,,,17,
138649.8268,clCreateKernel|General,END,,,,,,,,,,,17,
138649.8627,clCreateBuffer|General,START,,,,,,,,,,,18,
138650.5654,clCreateBuffer|General,END,,,,,,,,,,,18,
138650.5817,clCreateBuffer|General,START,,,,,,,,,,,19,
138650.6873,clCreateBuffer|General,END,,,,,,,,,,,19,
138650.7011,clCreateBuffer|General,START,,,,,,,,,,,20,
138650.7986,clCreateBuffer|General,END,,,,,,,,,,,20,
138650.8127,clCreateBuffer|General,START,,,,,,,,,,,21,
138650.9275,clCreateBuffer|General,END,,,,,,,,,,,21,
138650.9405,clCreateBuffer|General,START,,,,,,,,,,,22,
138651.0073,clCreateBuffer|General,END,,,,,,,,,,,22,
138651.0201,clCreateBuffer|General,START,,,,,,,,,,,23,
138651.2132,clCreateBuffer|General,END,,,,,,,,,,,23,
138651.227,clCreateBuffer|General,START,,,,,,,,,,,24,
138651.6773,clCreateBuffer|General,END,,,,,,,,,,,24,
138651.6899,clCreateBuffer|General,START,,,,,,,,,,,25,
138652.0833,clCreateBuffer|General,END,,,,,,,,,,,25,
138652.0959,clCreateBuffer|General,START,,,,,,,,,,,26,
138652.1611,clCreateBuffer|General,END,,,,,,,,,,,26,
138652.1735,clCreateBuffer|General,START,,,,,,,,,,,27,
138652.2551,clCreateBuffer|General,END,,,,,,,,,,,27,
138652.2675,clCreateBuffer|General,START,,,,,,,,,,,28,
138652.4423,clCreateBuffer|General,END,,,,,,,,,,,28,
138652.455,clCreateBuffer|General,START,,,,,,,,,,,29,
138652.5457,clCreateBuffer|General,END,,,,,,,,,,,29,
138652.559,clCreateBuffer|General,START,,,,,,,,,,,30,
