Timeline Trace
Generated on: 2020-11-02 21:44:16
Msec since Epoch: 1604349856975
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
148.354474,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
148.400538,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
148.426908,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
148.441491,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
148.455775,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
148.467516,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
148.479138,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
148.489235,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
148.50874,clGetPlatformInfo|General,START,,,,,,,,,,,4,
148.522628,clGetPlatformInfo|General,END,,,,,,,,,,,4,
148.533302,clGetPlatformInfo|General,START,,,,,,,,,,,5,
148.543689,clGetPlatformInfo|General,END,,,,,,,,,,,5,
148.554103,clGetPlatformInfo|General,START,,,,,,,,,,,6,
148.563993,clGetPlatformInfo|General,END,,,,,,,,,,,6,
148.573312,clGetPlatformInfo|General,START,,,,,,,,,,,7,
148.583058,clGetPlatformInfo|General,END,,,,,,,,,,,7,
148.605335,clGetPlatformInfo|General,START,,,,,,,,,,,8,
148.616175,clGetPlatformInfo|General,END,,,,,,,,,,,8,
148.627638,clGetPlatformInfo|General,START,,,,,,,,,,,9,
148.637278,clGetPlatformInfo|General,END,,,,,,,,,,,9,
148.704335,clGetDeviceIDs|General,START,,,,,,,,,,,10,
148.724434,clGetDeviceIDs|General,END,,,,,,,,,,,10,
148.737913,clGetDeviceIDs|General,START,,,,,,,,,,,11,
148.750347,clGetDeviceIDs|General,END,,,,,,,,,,,11,
148.76351,clRetainDevice|General,START,,,,,,,,,,,12,
148.776151,clRetainDevice|General,END,,,,,,,,,,,12,
148.78919,clRetainDevice|General,START,,,,,,,,,,,13,
148.800236,clRetainDevice|General,END,,,,,,,,,,,13,
148.813458,clCreateContext|General,START,,,,,,,,,,,14,
148.82918,clCreateContext|General,END,,,,,,,,,,,14,
148.843626,clCreateCommandQueue|General,START,,,,,,,,,,,15,
148.859808,clCreateCommandQueue|General,END,,,,,,,,,,,15,
3396.748538,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
132718.2842,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
132718.4056,clCreateKernel|General,START,,,,,,,,,,,17,
132719.8341,clCreateKernel|General,END,,,,,,,,,,,17,
132719.8798,clCreateBuffer|General,START,,,,,,,,,,,18,
132720.7815,clCreateBuffer|General,END,,,,,,,,,,,18,
132720.8449,clCreateBuffer|General,START,,,,,,,,,,,19,
132721.0098,clCreateBuffer|General,END,,,,,,,,,,,19,
132721.0289,clCreateBuffer|General,START,,,,,,,,,,,20,
132721.1547,clCreateBuffer|General,END,,,,,,,,,,,20,
132721.1693,clCreateBuffer|General,START,,,,,,,,,,,21,
132721.2599,clCreateBuffer|General,END,,,,,,,,,,,21,
132721.274,clCreateBuffer|General,START,,,,,,,,,,,22,
132721.4099,clCreateBuffer|General,END,,,,,,,,,,,22,
132721.4228,clCreateBuffer|General,START,,,,,,,,,,,23,
132721.8442,clCreateBuffer|General,END,,,,,,,,,,,23,
132721.8579,clCreateBuffer|General,START,,,,,,,,,,,24,
132722.2406,clCreateBuffer|General,END,,,,,,,,,,,24,
132722.2528,clCreateBuffer|General,START,,,,,,,,,,,25,
132722.343,clCreateBuffer|General,END,,,,,,,,,,,25,
132722.3563,clCreateBuffer|General,START,,,,,,,,,,,26,
132722.551,clCreateBuffer|General,END,,,,,,,,,,,26,
