Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.174033,0.178454,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.000000,0.174040,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.174040,0.178268,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.178268,0.178268,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.000000,0.174040,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.174040,0.178268,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.178268,0.178268,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.000000,0.174033,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.174033,0.174390,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.174390,0.174390,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.000000,0.174033,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.174033,0.174390,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.174390,0.174390,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.000000,0.174040,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.174040,0.178454,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.178454,0.178454,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.000000,0.174040,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.174040,0.178454,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.178454,0.178454,65535
