Profile Summary
Generated on: 2020-10-30 09:41:35
Msec since Epoch: 1604047295048
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: CPU Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFinish,1,80.2278,80.2278,80.2278,80.2278,
clCreateProgramWithBinary,1,44.8464,44.8464,44.8464,44.8464,
clCreateBuffer,35,15.6164,0.191028,0.446182,2.63263,
clReleaseKernel,1,3.61114,3.61114,3.61114,3.61114,
clReleaseProgram,1,1.74128,1.74128,1.74128,1.74128,
clReleaseMemObject,105,1.26205,0.009453,0.0120195,0.020905,
clCreateKernel,1,1.22007,1.22007,1.22007,1.22007,
clRetainMemObject,70,0.713869,0.009357,0.0101981,0.027582,
clSetKernelArg,35,0.362859,0.00979,0.0103674,0.017669,
clEnqueueTask,1,0.209852,0.209852,0.209852,0.209852,
clEnqueueMigrateMemObjects,2,0.200755,0.044127,0.100378,0.156628,
clGetExtensionFunctionAddress,2,0.120742,0.031038,0.060371,0.089704,
clGetPlatformInfo,6,0.060864,0.009469,0.010144,0.012256,
clGetDeviceIDs,2,0.037565,0.011615,0.0187825,0.02595,
clGetExtensionFunctionAddressForPlatform,2,0.035837,0.010546,0.0179185,0.025291,
clReleaseDevice,2,0.022745,0.010897,0.0113725,0.011848,
clRetainDevice,2,0.022429,0.010578,0.0112145,0.011851,
clCreateContext,1,0.018239,0.018239,0.018239,0.018239,
clCreateCommandQueue,1,0.01564,0.01564,0.01564,0.01564,
clReleaseCommandQueue,1,0.015195,0.015195,0.015195,0.015195,
clReleaseContext,1,0.012097,0.012097,0.012097,0.012097,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,4.85792,4.85792,4.85792,4.85792,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,0,1.000000x,4.17921,4.17921,4.17921,4.17921,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94327806104752,vadd,0,0,xilinx_u280_xdma_201920_3-0,217.601,4.85792,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,140.642,N/A,20800,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
20447232,0,0,222.65,N/A,0.128,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_xdma_201920_3-0,4.857923,
CU_CALLS,xilinx_u280_xdma_201920_3-0|vadd_1,1,
MEMORY_BIT_WIDTH,xilinx_u280_xdma_201920_3-0,512,
MIGRATE_MEM,host,2,
MEMORY_USAGE,,35,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem10,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem11,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem12,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem13,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem14,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem15,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem16,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem17,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem18,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem19,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem20,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem21,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem22,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem23,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem24,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem25,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem26,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem27,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem28,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem29,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem3,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem30,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem31,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem32,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem33,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem34,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem4,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem5,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem6,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem7,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem8,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem9,32,
KERNEL_COUNT,vadd,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,


