Timeline Trace
Generated on: 2020-10-30 09:41:35
Msec since Epoch: 1604047295049
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
74.361233,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
74.414431,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
74.439722,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
74.450937,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
74.465169,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
74.475918,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
74.486464,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
74.496207,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
74.508167,clGetPlatformInfo|General,START,,,,,,,,,,,4,
74.520423,clGetPlatformInfo|General,END,,,,,,,,,,,4,
74.530447,clGetPlatformInfo|General,START,,,,,,,,,,,5,
74.540201,clGetPlatformInfo|General,END,,,,,,,,,,,5,
74.549969,clGetPlatformInfo|General,START,,,,,,,,,,,6,
74.559438,clGetPlatformInfo|General,END,,,,,,,,,,,6,
74.568564,clGetPlatformInfo|General,START,,,,,,,,,,,7,
74.578103,clGetPlatformInfo|General,END,,,,,,,,,,,7,
74.600508,clGetPlatformInfo|General,START,,,,,,,,,,,8,
74.610659,clGetPlatformInfo|General,END,,,,,,,,,,,8,
74.621541,clGetPlatformInfo|General,START,,,,,,,,,,,9,
74.631236,clGetPlatformInfo|General,END,,,,,,,,,,,9,
74.68031,clGetDeviceIDs|General,START,,,,,,,,,,,10,
74.70626,clGetDeviceIDs|General,END,,,,,,,,,,,10,
