Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,3.457,88.017,5.785,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,merge_stage1_U0,0.928,10.124,0.000,0.000
vadd_1,merge_stage2_U0,1.657,11.364,0.000,0.000
vadd_1,merge_stage3_U0,1.878,21.074,0.000,0.000
vadd_1,broadcast_stream_32_5_U0,0.357,0.000,1.860,0.000
vadd_1,merge_stage4_U0,2.335,35.950,0.000,0.000
vadd_1,Loop_2_proc66_U0,0.936,0.000,0.000,0.000
vadd_1,write_result_32_U0,3.450,87.397,3.926,0.000
vadd_1,Loop_1_proc65_U0,2.321,63.223,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
vadd_1,m_axi_gmem0,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem1,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem10,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem11,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem12,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem13,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem14,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem15,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem16,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem17,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem18,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem19,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem2,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem20,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem21,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem22,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem23,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem24,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem25,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem26,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem27,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem28,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem29,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem3,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem30,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem31,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem32,0.000,0.000,0.271,7.851
vadd_1,m_axi_gmem33,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem34,0.257,7.438,0.000,0.000
vadd_1,m_axi_gmem4,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem5,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem6,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem7,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem8,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem9,0.000,0.000,0.000,0.000

