Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.171912,0.175361,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.000000,0.171919,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.171919,0.175197,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,outstanding,0,0.175197,0.175197,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.000000,0.171919,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.171919,0.175197,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0,row,0,0.175197,0.175197,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,outstanding,0,0.000000,0.171919,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,outstanding,0,0.171919,0.172847,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,outstanding,0,0.172847,0.172847,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,row,0,0.000000,0.171919,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,row,0,0.171919,0.172847,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage1_U0,row,0,0.172847,0.172847,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,outstanding,0,0.000000,0.171926,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,outstanding,0,0.171926,0.173583,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,outstanding,0,0.173583,0.173583,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,row,0,0.000000,0.171926,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,row,0,0.171926,0.173583,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage2_U0,row,0,0.173583,0.173583,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,outstanding,0,0.000000,0.171933,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,outstanding,0,0.171933,0.173811,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,outstanding,0,0.173811,0.173811,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,row,0,0.000000,0.171933,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,row,0,0.171933,0.173811,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage3_U0,row,0,0.173811,0.173811,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,outstanding,0,0.000000,0.171940,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,outstanding,0,0.171940,0.174276,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,outstanding,0,0.174276,0.174276,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,row,0,0.000000,0.171940,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,row,0,0.171940,0.174276,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage4_U0,row,0,0.174276,0.174276,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,outstanding,0,0.000000,0.171947,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,outstanding,0,0.171947,0.175197,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,outstanding,0,0.175197,0.175197,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,row,0,0.000000,0.171947,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,row,0,0.171947,0.175197,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,merge_sort_U0/merge_stage5_U0,row,0,0.175197,0.175197,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.000000,0.171912,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.171912,0.172269,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,outstanding,0,0.172269,0.172269,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.000000,0.171912,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.171912,0.172269,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,broadcast_stream_32_5_U0,row,0,0.172269,0.172269,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.000000,0.171919,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.171919,0.175361,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,outstanding,0,0.175361,0.175361,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.000000,0.171919,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.171919,0.175361,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_32_U0,row,0,0.175361,0.175361,65535
