Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.150003,0.161442,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,outstanding,0,0.000000,0.150007,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,outstanding,0,0.150007,0.161293,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,outstanding,0,0.161293,0.161293,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,row,0,0.000000,0.150007,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,row,0,0.150007,0.161293,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,priority_queue_100_1024_U0,row,0,0.161293,0.161293,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,outstanding,0,0.000000,0.150003,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,outstanding,0,0.150003,0.155642,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,outstanding,0,0.155642,0.155642,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,row,0,0.000000,0.150003,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,row,0,0.150003,0.155642,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,read_input_1024_5_U0,row,0,0.155642,0.155642,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,outstanding,0,0.000000,0.150007,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,outstanding,0,0.150007,0.161442,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,outstanding,0,0.161442,0.161442,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,row,0,0.000000,0.150007,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,row,0,0.150007,0.161442,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_100_U0,row,0,0.161442,0.161442,65535
