Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.170562,0.179282,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.000000,0.170883,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.170883,0.178654,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.178654,0.178654,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.000000,0.170883,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.170883,0.178654,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.178654,0.178654,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,outstanding,0,0.000000,0.170812,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,outstanding,0,0.170812,0.170876,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,outstanding,0,0.170876,0.170876,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,row,0,0.000000,0.170812,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,row,0,0.170812,0.170876,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,Block_proc_U0,row,0,0.170876,0.170876,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.000000,0.170876,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.170876,0.178211,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.178211,0.178211,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.000000,0.170876,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.170876,0.178211,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.178211,0.178211,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.000000,0.170562,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.170562,0.170812,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.170812,0.170812,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.000000,0.170562,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.170562,0.170812,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.170812,0.170812,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.000000,0.170569,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.170569,0.179282,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.179282,0.179282,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.000000,0.170569,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.170569,0.179282,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.179282,0.179282,65535
