Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.169919,0.178561,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.000000,0.170162,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.170162,0.177932,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,outstanding,0,0.177932,0.177932,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.000000,0.170162,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.170162,0.177932,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,reduction_1024_U0,row,0,0.177932,0.177932,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.000000,0.170155,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.170155,0.177489,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,outstanding,0,0.177489,0.177489,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.000000,0.170155,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.170155,0.177489,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,feed_struct_1024_U0,row,0,0.177489,0.177489,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.000000,0.169919,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.169919,0.170155,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,outstanding,0,0.170155,0.170155,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.000000,0.169919,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.169919,0.170155,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,init_array_16_5_U0,row,0,0.170155,0.170155,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.000000,0.169926,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.169926,0.178561,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,outstanding,0,0.178561,0.178561,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.000000,0.169926,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.169926,0.178561,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,write_result_1024_U0,row,0,0.178561,0.178561,65535
