Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.171297,0.172311,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.000000,0.171669,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.171669,0.171854,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.171854,0.171854,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.000000,0.171669,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.171669,0.171854,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.171854,0.171854,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.000000,0.171676,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171676,0.171690,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171690,0.171697,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171697,0.171712,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171712,0.171733,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171733,0.171747,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171747,0.171783,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171783,0.171797,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171797,0.171840,0
