Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.172576,0.173590,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.000000,0.172947,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.172947,0.173133,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.173133,0.173133,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.000000,0.172947,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.172947,0.173133,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.173133,0.173133,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_2_1_s_fu_274,outstanding,0,0.000000,0.172954,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_2_1_s_fu_274,outstanding,0,0.172954,0.172969,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_2_1_s_fu_274,outstanding,0,0.172969,0.172976,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_2_1_s_fu_274,outstanding,0,0.172976,0.172990,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_2_1_s_fu_274,outstanding,0,0.172990,0.173011,0
