Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,top,top,0,0.171183,0.172197,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.000000,0.171554,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.171554,0.171740,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,outstanding,0,0.171740,0.171740,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.000000,0.171554,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.171554,0.171740,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258,row,0,0.171740,0.171740,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.000000,0.171562,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171562,0.171576,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171576,0.171583,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171583,0.171597,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171597,0.171619,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171619,0.171633,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171633,0.171669,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171669,0.171683,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171683,0.171726,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171726,0.171740,1
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,outstanding,0,0.171740,0.171740,0
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,row,0,0.000000,0.171562,65535
xilinx_u280_xdma_201920_3-0,vadd.hw_emu,vadd,vadd_1,grp_bitonic_sort_fu_258/grp_compare_swap_range_interval_32_16_s_fu_274,row,0,0.171562,0.171576,0
