Profile Summary
Generated on: 2020-11-05 15:42:01
Msec since Epoch: 1604587321670
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: CPU Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFinish,1,25133.2,25133.2,25133.2,25133.2,
clCreateProgramWithBinary,1,84.0194,84.0194,84.0194,84.0194,
clReleaseKernel,1,31.756,31.756,31.756,31.756,
clCreateBuffer,35,12.62,0.043922,0.360571,2.99187,
clReleaseProgram,1,1.45534,1.45534,1.45534,1.45534,
clReleaseMemObject,105,1.01258,0.00308,0.00964361,0.025708,
clRetainMemObject,70,0.720445,0.009555,0.0102921,0.021182,
clCreateKernel,1,0.69257,0.69257,0.69257,0.69257,
clSetKernelArg,35,0.37498,0.009807,0.0107137,0.022521,
clEnqueueMigrateMemObjects,2,0.230568,0.050069,0.115284,0.180499,
clEnqueueTask,1,0.20053,0.20053,0.20053,0.20053,
clGetExtensionFunctionAddress,2,0.117186,0.033221,0.058593,0.083965,
clGetPlatformInfo,6,0.065507,0.009972,0.0109178,0.013296,
clReleaseDevice,2,0.042546,0.010761,0.021273,0.031785,
clGetExtensionFunctionAddressForPlatform,2,0.036919,0.011627,0.0184595,0.025292,
clGetDeviceIDs,2,0.03097,0.011997,0.015485,0.018973,
clRetainDevice,2,0.023154,0.010889,0.011577,0.012265,
clCreateContext,1,0.020405,0.020405,0.020405,0.020405,
clCreateCommandQueue,1,0.016018,0.016018,0.016018,0.016018,
clReleaseCommandQueue,1,0.015669,0.015669,0.015669,0.015669,
clReleaseContext,1,0.011556,0.011556,0.011556,0.011556,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,4756.47,4756.47,4756.47,4756.47,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,0,1.000000x,4755.65,4755.65,4755.65,4755.65,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94408841792480,vadd,0,0,xilinx_u280_xdma_201920_3-0,20567.3,4756.47,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,196.345,N/A,9.86993e+06,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
9601499136,0,0,25324,N/A,1048.58,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_xdma_201920_3-0,4756.469388,
CU_CALLS,xilinx_u280_xdma_201920_3-0|vadd_1,1,
MEMORY_BIT_WIDTH,xilinx_u280_xdma_201920_3-0,512,
MIGRATE_MEM,host,2,
MEMORY_USAGE,,35,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem1,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem10,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem11,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem12,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem13,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem14,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem15,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem16,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem17,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem18,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem19,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem2,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem20,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem21,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem22,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem23,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem24,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem25,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem26,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem27,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem28,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem29,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem3,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem30,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem31,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem32,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem33,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem34,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem4,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem5,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem6,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem7,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem8,32,
PORT_BIT_WIDTH,vadd_1/m_axi_gmem9,32,
KERNEL_COUNT,vadd,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,


