Timeline Trace
Generated on: 2020-11-05 15:42:01
Msec since Epoch: 1604587321672
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
91.385586,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
91.431241,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
91.456533,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
91.469551,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
91.485084,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
91.496771,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
91.508398,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
91.518305,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
91.529527,clGetPlatformInfo|General,START,,,,,,,,,,,4,
91.542823,clGetPlatformInfo|General,END,,,,,,,,,,,4,
91.553391,clGetPlatformInfo|General,START,,,,,,,,,,,5,
91.564165,clGetPlatformInfo|General,END,,,,,,,,,,,5,
91.575423,clGetPlatformInfo|General,START,,,,,,,,,,,6,
91.585395,clGetPlatformInfo|General,END,,,,,,,,,,,6,
91.595162,clGetPlatformInfo|General,START,,,,,,,,,,,7,
91.605273,clGetPlatformInfo|General,END,,,,,,,,,,,7,
91.632838,clGetPlatformInfo|General,START,,,,,,,,,,,8,
91.643768,clGetPlatformInfo|General,END,,,,,,,,,,,8,
91.655635,clGetPlatformInfo|General,START,,,,,,,,,,,9,
91.666059,clGetPlatformInfo|General,END,,,,,,,,,,,9,
91.719261,clGetDeviceIDs|General,START,,,,,,,,,,,10,
91.738234,clGetDeviceIDs|General,END,,,,,,,,,,,10,
91.751576,clGetDeviceIDs|General,START,,,,,,,,,,,11,
91.763573,clGetDeviceIDs|General,END,,,,,,,,,,,11,
91.776595,clRetainDevice|General,START,,,,,,,,,,,12,
91.78886,clRetainDevice|General,END,,,,,,,,,,,12,
91.802372,clRetainDevice|General,START,,,,,,,,,,,13,
91.813261,clRetainDevice|General,END,,,,,,,,,,,13,
91.833985,clCreateContext|General,START,,,,,,,,,,,14,
91.85439,clCreateContext|General,END,,,,,,,,,,,14,
91.869244,clCreateCommandQueue|General,START,,,,,,,,,,,15,
91.885262,clCreateCommandQueue|General,END,,,,,,,,,,,15,
96.035509,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
180.054937,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
180.107126,clCreateKernel|General,START,,,,,,,,,,,17,
180.799696,clCreateKernel|General,END,,,,,,,,,,,17,
180.818568,clCreateBuffer|General,START,,,,,,,,,,,18,
180.903012,clCreateBuffer|General,END,,,,,,,,,,,18,
180.911143,clCreateBuffer|General,START,,,,,,,,,,,19,
183.903016,clCreateBuffer|General,END,,,,,,,,,,,19,
183.934962,clCreateBuffer|General,START,,,,,,,,,,,20,
186.534869,clCreateBuffer|General,END,,,,,,,,,,,20,
186.603715,clCreateBuffer|General,START,,,,,,,,,,,21,
187.201735,clCreateBuffer|General,END,,,,,,,,,,,21,
187.213859,clCreateBuffer|General,START,,,,,,,,,,,22,
187.575261,clCreateBuffer|General,END,,,,,,,,,,,22,
187.58555,clCreateBuffer|General,START,,,,,,,,,,,23,
187.908001,clCreateBuffer|General,END,,,,,,,,,,,23,
187.917674,clCreateBuffer|General,START,,,,,,,,,,,24,
188.25177,clCreateBuffer|General,END,,,,,,,,,,,24,
188.262941,clCreateBuffer|General,START,,,,,,,,,,,25,
188.584416,clCreateBuffer|General,END,,,,,,,,,,,25,
188.59375,clCreateBuffer|General,START,,,,,,,,,,,26,
188.978843,clCreateBuffer|General,END,,,,,,,,,,,26,
188.98806,clCreateBuffer|General,START,,,,,,,,,,,27,
189.336213,clCreateBuffer|General,END,,,,,,,,,,,27,
189.3455,clCreateBuffer|General,START,,,,,,,,,,,28,
189.655105,clCreateBuffer|General,END,,,,,,,,,,,28,
189.664329,clCreateBuffer|General,START,,,,,,,,,,,29,
189.99368,clCreateBuffer|General,END,,,,,,,,,,,29,
190.002643,clCreateBuffer|General,START,,,,,,,,,,,30,
190.338451,clCreateBuffer|General,END,,,,,,,,,,,30,
190.348095,clCreateBuffer|General,START,,,,,,,,,,,31,
191.201095,clCreateBuffer|General,END,,,,,,,,,,,31,
191.214169,clCreateBuffer|General,START,,,,,,,,,,,32,
191.578295,clCreateBuffer|General,END,,,,,,,,,,,32,
191.59026,clCreateBuffer|General,START,,,,,,,,,,,33,
191.942024,clCreateBuffer|General,END,,,,,,,,,,,33,
191.95435,clCreateBuffer|General,START,,,,,,,,,,,34,
192.258098,clCreateBuffer|General,END,,,,,,,,,,,34,
192.270133,clCreateBuffer|General,START,,,,,,,,,,,35,
192.572123,clCreateBuffer|General,END,,,,,,,,,,,35,
192.584038,clCreateBuffer|General,START,,,,,,,,,,,36,
192.640772,clCreateBuffer|General,END,,,,,,,,,,,36,
192.653217,clCreateBuffer|General,START,,,,,,,,,,,37,
192.702307,clCreateBuffer|General,END,,,,,,,,,,,37,
192.714232,clCreateBuffer|General,START,,,,,,,,,,,38,
192.758154,clCreateBuffer|General,END,,,,,,,,,,,38,
192.770055,clCreateBuffer|General,START,,,,,,,,,,,39,
192.824763,clCreateBuffer|General,END,,,,,,,,,,,39,
192.837144,clCreateBuffer|General,START,,,,,,,,,,,40,
192.882389,clCreateBuffer|General,END,,,,,,,,,,,40,
192.894506,clCreateBuffer|General,START,,,,,,,,,,,41,
192.940362,clCreateBuffer|General,END,,,,,,,,,,,41,
192.952415,clCreateBuffer|General,START,,,,,,,,,,,42,
192.996346,clCreateBuffer|General,END,,,,,,,,,,,42,
193.008298,clCreateBuffer|General,START,,,,,,,,,,,43,
193.052413,clCreateBuffer|General,END,,,,,,,,,,,43,
193.064244,clCreateBuffer|General,START,,,,,,,,,,,44,
193.112072,clCreateBuffer|General,END,,,,,,,,,,,44,
193.123824,clCreateBuffer|General,START,,,,,,,,,,,45,
