Timeline Trace
Generated on: 2020-12-13 14:35:52
Msec since Epoch: 1607866552737
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
30.163311,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
30.182086,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
30.190426,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
30.194106,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
30.198481,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
30.201132,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
30.203728,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
30.205987,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
30.209627,clGetPlatformInfo|General,START,,,,,,,,,,,4,
30.213399,clGetPlatformInfo|General,END,,,,,,,,,,,4,
30.215873,clGetPlatformInfo|General,START,,,,,,,,,,,5,
30.218294,clGetPlatformInfo|General,END,,,,,,,,,,,5,
30.22071,clGetPlatformInfo|General,START,,,,,,,,,,,6,
30.223102,clGetPlatformInfo|General,END,,,,,,,,,,,6,
30.225285,clGetPlatformInfo|General,START,,,,,,,,,,,7,
30.227648,clGetPlatformInfo|General,END,,,,,,,,,,,7,
30.235978,clGetPlatformInfo|General,START,,,,,,,,,,,8,
30.238613,clGetPlatformInfo|General,END,,,,,,,,,,,8,
30.241668,clGetPlatformInfo|General,START,,,,,,,,,,,9,
30.243978,clGetPlatformInfo|General,END,,,,,,,,,,,9,
30.269491,clGetDeviceIDs|General,START,,,,,,,,,,,10,
30.275064,clGetDeviceIDs|General,END,,,,,,,,,,,10,
30.278241,clGetDeviceIDs|General,START,,,,,,,,,,,11,
30.28097,clGetDeviceIDs|General,END,,,,,,,,,,,11,
30.287153,clRetainDevice|General,START,,,,,,,,,,,12,
30.290336,clRetainDevice|General,END,,,,,,,,,,,12,
30.29353,clRetainDevice|General,START,,,,,,,,,,,13,
30.296041,clRetainDevice|General,END,,,,,,,,,,,13,
30.303448,clCreateContext|General,START,,,,,,,,,,,14,
30.314428,clCreateContext|General,END,,,,,,,,,,,14,
30.3182,clCreateCommandQueue|General,START,,,,,,,,,,,15,
30.325259,clCreateCommandQueue|General,END,,,,,,,,,,,15,
72.014561,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
146.823046,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
146.870176,clCreateKernel|General,START,,,,,,,,,,,17,
147.209685,clCreateKernel|General,END,,,,,,,,,,,17,
147.218799,clCreateBuffer|General,START,,,,,,,,,,,18,
147.248305,clCreateBuffer|General,END,,,,,,,,,,,18,
147.251925,clCreateBuffer|General,START,,,,,,,,,,,19,
147.260892,clCreateBuffer|General,END,,,,,,,,,,,19,
147.264258,clCreateBuffer|General,START,,,,,,,,,,,20,
147.272678,clCreateBuffer|General,END,,,,,,,,,,,20,
147.275852,clCreateBuffer|General,START,,,,,,,,,,,21,
147.283505,clCreateBuffer|General,END,,,,,,,,,,,21,
147.286557,clCreateBuffer|General,START,,,,,,,,,,,22,
147.29394,clCreateBuffer|General,END,,,,,,,,,,,22,
147.297086,clCreateBuffer|General,START,,,,,,,,,,,23,
147.305002,clCreateBuffer|General,END,,,,,,,,,,,23,
147.308099,clCreateBuffer|General,START,,,,,,,,,,,24,
147.316513,clCreateBuffer|General,END,,,,,,,,,,,24,
147.319641,clCreateBuffer|General,START,,,,,,,,,,,25,
147.327338,clCreateBuffer|General,END,,,,,,,,,,,25,
147.330551,clCreateBuffer|General,START,,,,,,,,,,,26,
147.338824,clCreateBuffer|General,END,,,,,,,,,,,26,
147.342,clCreateBuffer|General,START,,,,,,,,,,,27,
147.349483,clCreateBuffer|General,END,,,,,,,,,,,27,
147.352661,clCreateBuffer|General,START,,,,,,,,,,,28,
147.36143,clCreateBuffer|General,END,,,,,,,,,,,28,
147.364568,clCreateBuffer|General,START,,,,,,,,,,,29,
147.372618,clCreateBuffer|General,END,,,,,,,,,,,29,
147.37584,clCreateBuffer|General,START,,,,,,,,,,,30,
147.384328,clCreateBuffer|General,END,,,,,,,,,,,30,
147.387518,clCreateBuffer|General,START,,,,,,,,,,,31,
147.395687,clCreateBuffer|General,END,,,,,,,,,,,31,
147.398814,clCreateBuffer|General,START,,,,,,,,,,,32,
147.406766,clCreateBuffer|General,END,,,,,,,,,,,32,
147.409882,clCreateBuffer|General,START,,,,,,,,,,,33,
147.417516,clCreateBuffer|General,END,,,,,,,,,,,33,
147.420626,clCreateBuffer|General,START,,,,,,,,,,,34,
147.429771,clCreateBuffer|General,END,,,,,,,,,,,34,
147.432983,clCreateBuffer|General,START,,,,,,,,,,,35,
147.441409,clCreateBuffer|General,END,,,,,,,,,,,35,
147.444589,clCreateBuffer|General,START,,,,,,,,,,,36,
147.453292,clCreateBuffer|General,END,,,,,,,,,,,36,
147.456369,clCreateBuffer|General,START,,,,,,,,,,,37,
147.464747,clCreateBuffer|General,END,,,,,,,,,,,37,
147.467847,clCreateBuffer|General,START,,,,,,,,,,,38,
147.479339,clCreateBuffer|General,END,,,,,,,,,,,38,
147.482462,clCreateBuffer|General,START,,,,,,,,,,,39,
147.491403,clCreateBuffer|General,END,,,,,,,,,,,39,
147.494579,clCreateBuffer|General,START,,,,,,,,,,,40,
147.503599,clCreateBuffer|General,END,,,,,,,,,,,40,
147.506684,clCreateBuffer|General,START,,,,,,,,,,,41,
147.514862,clCreateBuffer|General,END,,,,,,,,,,,41,
147.521376,clCreateBuffer|General,START,,,,,,,,,,,42,
147.530213,clCreateBuffer|General,END,,,,,,,,,,,42,
