Timeline Trace
Generated on: 2020-12-14 08:58:37
Msec since Epoch: 1607932717896
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
290.057774,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
290.099428,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
290.124042,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
290.137204,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
290.152311,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
290.16414,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
290.176035,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
290.186872,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
290.199618,clGetPlatformInfo|General,START,,,,,,,,,,,4,
290.213287,clGetPlatformInfo|General,END,,,,,,,,,,,4,
290.224135,clGetPlatformInfo|General,START,,,,,,,,,,,5,
290.234885,clGetPlatformInfo|General,END,,,,,,,,,,,5,
290.245991,clGetPlatformInfo|General,START,,,,,,,,,,,6,
290.25652,clGetPlatformInfo|General,END,,,,,,,,,,,6,
290.266788,clGetPlatformInfo|General,START,,,,,,,,,,,7,
290.276939,clGetPlatformInfo|General,END,,,,,,,,,,,7,
290.305744,clGetPlatformInfo|General,START,,,,,,,,,,,8,
290.31695,clGetPlatformInfo|General,END,,,,,,,,,,,8,
290.329009,clGetPlatformInfo|General,START,,,,,,,,,,,9,
290.339807,clGetPlatformInfo|General,END,,,,,,,,,,,9,
291.504324,clGetDeviceIDs|General,START,,,,,,,,,,,10,
291.527663,clGetDeviceIDs|General,END,,,,,,,,,,,10,
291.541219,clGetDeviceIDs|General,START,,,,,,,,,,,11,
291.552918,clGetDeviceIDs|General,END,,,,,,,,,,,11,
291.566277,clRetainDevice|General,START,,,,,,,,,,,12,
291.578518,clRetainDevice|General,END,,,,,,,,,,,12,
291.592041,clRetainDevice|General,START,,,,,,,,,,,13,
291.602365,clRetainDevice|General,END,,,,,,,,,,,13,
291.616066,clCreateContext|General,START,,,,,,,,,,,14,
291.630844,clCreateContext|General,END,,,,,,,,,,,14,
291.644612,clCreateCommandQueue|General,START,,,,,,,,,,,15,
291.658995,clCreateCommandQueue|General,END,,,,,,,,,,,15,
876.229081,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
150513.4873,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
150513.6035,clCreateKernel|General,START,,,,,,,,,,,17,
150514.9677,clCreateKernel|General,END,,,,,,,,,,,17,
150515.0025,clCreateBuffer|General,START,,,,,,,,,,,18,
150515.9867,clCreateBuffer|General,END,,,,,,,,,,,18,
150516.0034,clCreateBuffer|General,START,,,,,,,,,,,19,
150516.4554,clCreateBuffer|General,END,,,,,,,,,,,19,
150516.4691,clCreateBuffer|General,START,,,,,,,,,,,20,
150516.5649,clCreateBuffer|General,END,,,,,,,,,,,20,
150516.5794,clCreateBuffer|General,START,,,,,,,,,,,21,
150517.6279,clCreateBuffer|General,END,,,,,,,,,,,21,
150517.6423,clCreateBuffer|General,START,,,,,,,,,,,22,
150517.8142,clCreateBuffer|General,END,,,,,,,,,,,22,
150517.8265,clCreateBuffer|General,START,,,,,,,,,,,23,
150517.9089,clCreateBuffer|General,END,,,,,,,,,,,23,
150517.9228,clCreateBuffer|General,START,,,,,,,,,,,24,
150517.9882,clCreateBuffer|General,END,,,,,,,,,,,24,
150518.0003,clCreateBuffer|General,START,,,,,,,,,,,25,
150518.0653,clCreateBuffer|General,END,,,,,,,,,,,25,
150518.0775,clCreateBuffer|General,START,,,,,,,,,,,26,
150518.1403,clCreateBuffer|General,END,,,,,,,,,,,26,
150518.1522,clCreateBuffer|General,START,,,,,,,,,,,27,
150518.2313,clCreateBuffer|General,END,,,,,,,,,,,27,
150518.2446,clCreateBuffer|General,START,,,,,,,,,,,28,
150518.336,clCreateBuffer|General,END,,,,,,,,,,,28,
150518.3482,clCreateBuffer|General,START,,,,,,,,,,,29,
150518.452,clCreateBuffer|General,END,,,,,,,,,,,29,
150518.4643,clCreateBuffer|General,START,,,,,,,,,,,30,
150518.5546,clCreateBuffer|General,END,,,,,,,,,,,30,
150518.5665,clCreateBuffer|General,START,,,,,,,,,,,31,
150518.6336,clCreateBuffer|General,END,,,,,,,,,,,31,
150518.6455,clCreateBuffer|General,START,,,,,,,,,,,32,
150518.8332,clCreateBuffer|General,END,,,,,,,,,,,32,
150518.8465,clCreateBuffer|General,START,,,,,,,,,,,33,
150519.3562,clCreateBuffer|General,END,,,,,,,,,,,33,
150519.368,clCreateBuffer|General,START,,,,,,,,,,,34,
150519.6644,clCreateBuffer|General,END,,,,,,,,,,,34,
150519.6762,clCreateBuffer|General,START,,,,,,,,,,,35,
150519.7415,clCreateBuffer|General,END,,,,,,,,,,,35,
150519.7536,clCreateBuffer|General,START,,,,,,,,,,,36,
150519.9503,clCreateBuffer|General,END,,,,,,,,,,,36,
150519.9622,clCreateBuffer|General,START,,,,,,,,,,,37,
150520.0445,clCreateBuffer|General,END,,,,,,,,,,,37,
150520.0578,clCreateBuffer|General,START,,,,,,,,,,,38,
150520.151,clCreateBuffer|General,END,,,,,,,,,,,38,
