Timeline Trace
Generated on: 2020-12-12 21:23:55
Msec since Epoch: 1607804635052
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
29.654902,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
29.697847,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
29.717508,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
29.727414,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
29.739388,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
29.749217,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
29.758092,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
29.765948,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
29.77464,clGetPlatformInfo|General,START,,,,,,,,,,,4,
29.784705,clGetPlatformInfo|General,END,,,,,,,,,,,4,
29.792889,clGetPlatformInfo|General,START,,,,,,,,,,,5,
29.800924,clGetPlatformInfo|General,END,,,,,,,,,,,5,
29.809182,clGetPlatformInfo|General,START,,,,,,,,,,,6,
29.817022,clGetPlatformInfo|General,END,,,,,,,,,,,6,
29.824339,clGetPlatformInfo|General,START,,,,,,,,,,,7,
29.832018,clGetPlatformInfo|General,END,,,,,,,,,,,7,
29.852352,clGetPlatformInfo|General,START,,,,,,,,,,,8,
29.861098,clGetPlatformInfo|General,END,,,,,,,,,,,8,
29.870612,clGetPlatformInfo|General,START,,,,,,,,,,,9,
29.878252,clGetPlatformInfo|General,END,,,,,,,,,,,9,
29.909614,clGetDeviceIDs|General,START,,,,,,,,,,,10,
29.915041,clGetDeviceIDs|General,END,,,,,,,,,,,10,
29.918534,clGetDeviceIDs|General,START,,,,,,,,,,,11,
29.921314,clGetDeviceIDs|General,END,,,,,,,,,,,11,
29.928505,clRetainDevice|General,START,,,,,,,,,,,12,
29.931918,clRetainDevice|General,END,,,,,,,,,,,12,
29.935194,clRetainDevice|General,START,,,,,,,,,,,13,
29.937953,clRetainDevice|General,END,,,,,,,,,,,13,
29.94196,clCreateContext|General,START,,,,,,,,,,,14,
29.952075,clCreateContext|General,END,,,,,,,,,,,14,
29.956225,clCreateCommandQueue|General,START,,,,,,,,,,,15,
29.962186,clCreateCommandQueue|General,END,,,,,,,,,,,15,
452.03521,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
7144.590393,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
7144.635766,clCreateKernel|General,START,,,,,,,,,,,17,
7144.979169,clCreateKernel|General,END,,,,,,,,,,,17,
7144.988394,clCreateBuffer|General,START,,,,,,,,,,,18,
7145.030713,clCreateBuffer|General,END,,,,,,,,,,,18,
7145.034425,clCreateBuffer|General,START,,,,,,,,,,,19,
7145.053831,clCreateBuffer|General,END,,,,,,,,,,,19,
7145.057282,clCreateBuffer|General,START,,,,,,,,,,,20,
7145.074301,clCreateBuffer|General,END,,,,,,,,,,,20,
7145.07762,clCreateBuffer|General,START,,,,,,,,,,,21,
7145.096435,clCreateBuffer|General,END,,,,,,,,,,,21,
7145.099827,clCreateBuffer|General,START,,,,,,,,,,,22,
7145.113546,clCreateBuffer|General,END,,,,,,,,,,,22,
7145.116839,clCreateBuffer|General,START,,,,,,,,,,,23,
7145.131642,clCreateBuffer|General,END,,,,,,,,,,,23,
7145.135037,clCreateBuffer|General,START,,,,,,,,,,,24,
7145.149479,clCreateBuffer|General,END,,,,,,,,,,,24,
7145.152726,clCreateBuffer|General,START,,,,,,,,,,,25,
7145.167032,clCreateBuffer|General,END,,,,,,,,,,,25,
7145.170536,clCreateBuffer|General,START,,,,,,,,,,,26,
7145.185727,clCreateBuffer|General,END,,,,,,,,,,,26,
7145.189118,clCreateBuffer|General,START,,,,,,,,,,,27,
7145.209027,clCreateBuffer|General,END,,,,,,,,,,,27,
7145.212323,clCreateBuffer|General,START,,,,,,,,,,,28,
7145.22657,clCreateBuffer|General,END,,,,,,,,,,,28,
7145.230019,clCreateBuffer|General,START,,,,,,,,,,,29,
7145.244945,clCreateBuffer|General,END,,,,,,,,,,,29,
7145.248384,clCreateBuffer|General,START,,,,,,,,,,,30,
7145.26143,clCreateBuffer|General,END,,,,,,,,,,,30,
7145.264594,clCreateBuffer|General,START,,,,,,,,,,,31,
7145.277806,clCreateBuffer|General,END,,,,,,,,,,,31,
7145.28099,clCreateBuffer|General,START,,,,,,,,,,,32,
7145.293896,clCreateBuffer|General,END,,,,,,,,,,,32,
7145.297307,clCreateBuffer|General,START,,,,,,,,,,,33,
7145.311482,clCreateBuffer|General,END,,,,,,,,,,,33,
